0.35	0.091651741
0.351	0.062203175
0.352	0.044406249
0.353	0.044246167
0.354	0.034483708
0.355	0.018688431
0.356	0.04306507
0.357	0.056220829
0.358	0.058279104
0.359	0.042314179
0.36	0.045934094
0.361	0.044766401
0.362	0.028595265
0.363	0.025767466
0.364	0.02824042
0.365	0.034010569
0.366	0.034855037
0.367	0.036160292
0.368	0.0367537
0.369	0.034286949
0.37	0.036512694
0.371	0.038098258
0.372	0.036414519
0.373	0.048851245
0.374	0.051380109
0.375	0.044218265
0.376	0.036624719
0.377	0.032975176
0.378	0.033825
0.379	0.043501001
0.38	0.045928208
0.381	0.045215042
0.382	0.04273571
0.383	0.042058438
0.384	0.041712122
0.385	0.041878441
0.386	0.041762705
0.387	0.044118275
0.388	0.046018168
0.389	0.04322406
0.39	0.040625026
0.391	0.04076637
0.392	0.045575168
0.393	0.044947499
0.394	0.044454068
0.395	0.044593214
0.396	0.048208621
0.397	0.04889447
0.398	0.048656049
0.399	0.050571014
0.4	0.051212848
0.401	0.051557608
0.402	0.051960562
0.403	0.051660105
0.404	0.051727253
0.405	0.0519533
0.406	0.052122587
0.407	0.05307964
0.408	0.05437389
0.409	0.055544653
0.41	0.054996486
0.411	0.054908179
0.412	0.055684002
0.413	0.056762015
0.414	0.057396195
0.415	0.057878786
0.416	0.05928765
0.417	0.060101399
0.418	0.060331346
0.419	0.060692695
0.42	0.061551239
0.421	0.062424484
0.422	0.062569533
0.423	0.063554121
0.424	0.064171793
0.425	0.064426474
0.426	0.065156402
0.427	0.065561307
0.428	0.066084585
0.429	0.067089969
0.43	0.06805553
0.431	0.068709885
0.432	0.069187996
0.433	0.069190842
0.434	0.069784075
0.435	0.070684742
0.436	0.071127175
0.437	0.071620773
0.438	0.072234634
0.439	0.072794648
0.44	0.07311664
0.441	0.073639039
0.442	0.074516545
0.443	0.074488239
0.444	0.075200552
0.445	0.076498366
0.446	0.076287234
0.447	0.076686509
0.448	0.077343016
0.449	0.077524164
0.45	0.078273115
0.451	0.079068245
0.452	0.080082236
0.453	0.080021924
0.454	0.080335036
0.455	0.080990704
0.456	0.082163149
0.457	0.082539368
0.458	0.082765912
0.459	0.083255163
0.46	0.083347472
0.461	0.083684263
0.462	0.084808475
0.463	0.085028684
0.464	0.08536813
0.465	0.085762998
0.466	0.086432451
0.467	0.086674229
0.468	0.087178366
0.469	0.088163265
0.47	0.088415774
0.471	0.088874436
0.472	0.0896528
0.473	0.089922275
0.474	0.089831426
0.475	0.08977661
0.476	0.090824492
0.477	0.091530798
0.478	0.091874199
0.479	0.092119076
0.48	0.092806017
0.481	0.093253356
0.482	0.093312678
0.483	0.094269782
0.484	0.094523211
0.485	0.094679883
0.486	0.095446044
0.487	0.095808919
0.488	0.096000585
0.489	0.096346777
0.49	0.097280875
0.491	0.09788437
0.492	0.098106902
0.493	0.09846399
0.494	0.099125418
0.495	0.099587837
0.496	0.099768909
0.497	0.100417675
0.498	0.101015551
0.499	0.101001955
0.5	0.101379883
0.501	0.101982905
0.502	0.102517346
0.503	0.102854199
0.504	0.103319404
0.505	0.103773458
0.506	0.104394885
0.507	0.104917507
0.508	0.105383953
0.509	0.105761286
0.51	0.106100284
0.511	0.106659432
0.512	0.10721812
0.513	0.107639736
0.514	0.108291058
0.515	0.108970125
0.516	0.10913242
0.517	0.109595157
0.518	0.110090199
0.519	0.110782194
0.52	0.111203491
0.521	0.111739789
0.522	0.112288112
0.523	0.112924945
0.524	0.113498739
0.525	0.114045075
0.526	0.114546179
0.527	0.115158574
0.528	0.115443744
0.529	0.115559917
0.53	0.116214162
0.531	0.116926076
0.532	0.117649224
0.533	0.117885143
0.534	0.118357462
0.535	0.118863048
0.536	0.119113174
0.537	0.119773309
0.538	0.120317348
0.539	0.120700018
0.54	0.121248978
0.541	0.121692398
0.542	0.122201029
0.543	0.122269675
0.544	0.122811001
0.545	0.123345892
0.546	0.123664516
0.547	0.124133163
0.548	0.124745068
0.549	0.125164134
0.55	0.125535438
0.551	0.126083074
0.552	0.126482009
0.553	0.126959037
0.554	0.127498396
0.555	0.127809261
0.556	0.128370605
0.557	0.128917654
0.558	0.129253674
0.559	0.129658501
0.56	0.129854187
0.561	0.130226876
0.562	0.130702181
0.563	0.131022218
0.564	0.131478741
0.565	0.131904001
0.566	0.13225294
0.567	0.132675309
0.568	0.133071386
0.569	0.133359195
0.57	0.133532033
0.571	0.133997213
0.572	0.13463674
0.573	0.134855047
0.574	0.135161351
0.575	0.135590839
0.576	0.136017178
0.577	0.13623547
0.578	0.13646507
0.579	0.136927817
0.58	0.137268472
0.581	0.137657862
0.582	0.13813154
0.583	0.13840452
0.584	0.138883606
0.585	0.139339745
0.586	0.139541108
0.587	0.139938887
0.588	0.140390849
0.589	0.1409581
0.59	0.140959883
0.591	0.141216649
0.592	0.141767436
0.593	0.141900688
0.594	0.142368429
0.595	0.142688639
0.596	0.143131874
0.597	0.14352592
0.598	0.1440578
0.599	0.144764289
0.6	0.144941435
0.601	0.145307573
0.602	0.145851906
0.603	0.146168194
0.604	0.146420861
0.605	0.146713613
0.606	0.147429072
0.607	0.147861517
0.608	0.148074042
0.609	0.148418351
0.61	0.148389967
0.611	0.148590027
0.612	0.148900155
0.613	0.149255557
0.614	0.149420909
0.615	0.149661673
0.616	0.14989145
0.617	0.150141577
0.618	0.150478237
0.619	0.150756836
0.62	0.151083056
0.621	0.151589851
0.622	0.152012198
0.623	0.152403559
0.624	0.152788372
0.625	0.153127446
0.626	0.153449041
0.627	0.153657844
0.628	0.154066076
0.629	0.154242464
