xflr5 v6.39

Plane name :, aquilai
Polar name :, T1-32.0 m/s-VLM1-proj_area
Freestream speed :, 32.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -2.000,     0.000,   0.465451,   0.003624,   0.012428,   0.016052,  -0.000000,  -0.000000,  -0.081362,   0.000000,   0.000000,   32.0000,    4.5651
   -1.750,     0.000,   0.489569,   0.003868,   0.012102,   0.015970,  -0.000000,  -0.000000,  -0.074329,   0.000000,   0.000000,   32.0000,    4.5325
   -1.500,     0.000,   0.513676,   0.004124,   0.011788,   0.015912,  -0.000000,  -0.000000,  -0.067280,   0.000000,   0.000000,   32.0000,    4.5030
   -1.250,     0.000,   0.537770,   0.004392,   0.011456,   0.015848,  -0.000000,  -0.000000,  -0.060220,   0.000000,   0.000000,   32.0000,    4.4761
   -1.000,     0.000,   0.561852,   0.004672,   0.011142,   0.015814,  -0.000000,  -0.000000,  -0.053146,   0.000000,   0.000000,   32.0000,    4.4516
   -0.750,     0.000,   0.585920,   0.004963,   0.010946,   0.015910,  -0.000000,  -0.000000,  -0.046050,   0.000000,   0.000000,   32.0000,    4.4291
   -0.500,     0.000,   0.609974,   0.005266,   0.010704,   0.015970,  -0.000000,  -0.000000,  -0.038945,   0.000000,   0.000000,   32.0000,    4.4084
   -0.250,     0.000,   0.634014,   0.005581,   0.010326,   0.015907,  -0.000000,  -0.000000,  -0.031841,   0.000000,   0.000000,   32.0000,    4.3892
    0.000,     0.000,   0.658038,   0.005907,   0.009896,   0.015804,  -0.000000,  -0.000000,  -0.024729,   0.000000,   0.000000,   32.0000,    4.3715
    0.250,     0.000,   0.682047,   0.006245,   0.009572,   0.015817,  -0.000000,  -0.000000,  -0.017600,   0.000000,   0.000000,   32.0000,    4.3551
    0.500,     0.000,   0.706039,   0.006595,   0.009402,   0.015997,  -0.000000,  -0.000000,  -0.010449,   0.000000,   0.000000,   32.0000,    4.3398
    0.750,     0.000,   0.730014,   0.006955,   0.009266,   0.016222,  -0.000000,  -0.000000,  -0.003286,   0.000000,   0.000000,   32.0000,    4.3256
    1.000,     0.000,   0.753971,   0.007328,   0.009101,   0.016428,  -0.000000,  -0.000000,   0.003884,   0.000000,   0.000000,   32.0000,    4.3122
    1.250,     0.000,   0.777910,   0.007711,   0.008921,   0.016632,  -0.000000,  -0.000000,   0.011061,   0.000000,   0.000000,   32.0000,    4.2997
    1.500,     0.000,   0.801831,   0.008106,   0.008849,   0.016955,  -0.000000,  -0.000000,   0.018253,   0.000000,   0.000000,   32.0000,    4.2880
    1.750,     0.000,   0.825732,   0.008512,   0.008848,   0.017360,  -0.000000,  -0.000000,   0.025456,   0.000000,   0.000000,   32.0000,    4.2770
