xflr5 v6.39

Plane name :, aquilai
Polar name :, T1-40.0 m/s-VLM1-proj_area
Freestream speed :, 40.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -2.000,     0.000,   0.465451,   0.003624,   0.011052,   0.014675,  -0.000000,  -0.000000,  -0.081386,   0.000000,   0.000000,   40.0000,    4.5651
   -1.750,     0.000,   0.489569,   0.003868,   0.010793,   0.014661,  -0.000000,  -0.000000,  -0.074351,   0.000000,   0.000000,   40.0000,    4.5325
   -1.500,     0.000,   0.513676,   0.004124,   0.010536,   0.014660,  -0.000000,  -0.000000,  -0.067300,   0.000000,   0.000000,   40.0000,    4.5030
   -1.250,     0.000,   0.537770,   0.004392,   0.010298,   0.014691,  -0.000000,  -0.000000,  -0.060233,   0.000000,   0.000000,   40.0000,    4.4761
   -1.000,     0.000,   0.561852,   0.004672,   0.010041,   0.014713,  -0.000000,  -0.000000,  -0.053153,   0.000000,   0.000000,   40.0000,    4.4516
   -0.750,     0.000,   0.585920,   0.004963,   0.009831,   0.014794,  -0.000000,  -0.000000,  -0.046057,   0.000000,   0.000000,   40.0000,    4.4291
   -0.500,     0.000,   0.609974,   0.005266,   0.009680,   0.014946,  -0.000000,  -0.000000,  -0.038945,   0.000000,   0.000000,   40.0000,    4.4084
   -0.250,     0.000,   0.634014,   0.005581,   0.009459,   0.015040,  -0.000000,  -0.000000,  -0.031827,   0.000000,   0.000000,   40.0000,    4.3892
    0.000,     0.000,   0.658038,   0.005907,   0.009132,   0.015040,  -0.000000,  -0.000000,  -0.024707,   0.000000,   0.000000,   40.0000,    4.3715
    0.250,     0.000,   0.682047,   0.006245,   0.008725,   0.014970,  -0.000000,  -0.000000,  -0.017584,   0.000000,   0.000000,   40.0000,    4.3551
    0.500,     0.000,   0.706039,   0.006595,   0.008482,   0.015077,  -0.000000,  -0.000000,  -0.010438,   0.000000,   0.000000,   40.0000,    4.3398
    0.750,     0.000,   0.730014,   0.006955,   0.008352,   0.015307,  -0.000000,  -0.000000,  -0.003275,   0.000000,   0.000000,   40.0000,    4.3256
    1.000,     0.000,   0.753971,   0.007328,   0.008251,   0.015578,  -0.000000,  -0.000000,   0.003898,   0.000000,   0.000000,   40.0000,    4.3122
    1.250,     0.000,   0.777910,   0.007711,   0.008140,   0.015851,  -0.000000,  -0.000000,   0.011078,   0.000000,   0.000000,   40.0000,    4.2997
    1.500,     0.000,   0.801831,   0.008106,   0.007974,   0.016080,  -0.000000,  -0.000000,   0.018261,   0.000000,   0.000000,   40.0000,    4.2880
    1.750,     0.000,   0.825732,   0.008512,   0.007874,   0.016386,  -0.000000,  -0.000000,   0.025456,   0.000000,   0.000000,   40.0000,    4.2770
    2.000,     0.000,   0.849612,   0.008929,   0.007866,   0.016795,  -0.000000,  -0.000000,   0.032663,   0.000000,   0.000000,   40.0000,    4.2666
    2.250,     0.000,   0.873472,   0.009357,   0.007898,   0.017255,  -0.000000,  -0.000000,   0.039879,   0.000000,   0.000000,   40.0000,    4.2568
    2.500,     0.000,   0.897311,   0.009796,   0.007938,   0.017735,  -0.000000,  -0.000000,   0.047101,   0.000000,   0.000000,   40.0000,    4.2475
    2.750,     0.000,   0.921128,   0.010246,   0.007983,   0.018229,  -0.000000,  -0.000000,   0.054328,   0.000000,   0.000000,   40.0000,    4.2388
    3.000,     0.000,   0.944923,   0.010707,   0.008034,   0.018741,  -0.000000,  -0.000000,   0.061559,   0.000000,   0.000000,   40.0000,    4.2305
    3.250,     0.000,   0.968694,   0.011179,   0.008092,   0.019271,  -0.000000,  -0.000000,   0.068794,   0.000000,   0.000000,   40.0000,    4.2226
    3.500,     0.000,   0.992442,   0.011662,   0.008159,   0.019821,  -0.000000,  -0.000000,   0.076032,   0.000000,   0.000000,   40.0000,    4.2152
    3.750,     0.000,   1.016166,   0.012155,   0.008231,   0.020385,  -0.000000,  -0.000000,   0.083272,   0.000000,   0.000000,   40.0000,    4.2081
    4.000,     0.000,   1.039864,   0.012658,   0.008308,   0.020966,  -0.000000,  -0.000000,   0.090515,   0.000000,   0.000000,   40.0000,    4.2014
    4.250,     0.000,   1.063538,   0.013173,   0.008399,   0.021572,  -0.000000,  -0.000000,   0.097759,   0.000000,   0.000000,   40.0000,    4.1949
    4.500,     0.000,   1.087185,   0.013697,   0.008505,   0.022202,  -0.000000,  -0.000000,   0.105004,   0.000000,   0.000000,   40.0000,    4.1888
    4.750,     0.000,   1.110805,   0.014232,   0.008630,   0.022861,  -0.000000,  -0.000000,   0.112250,   0.000000,   0.000000,   40.0000,    4.1830
    5.000,     0.000,   1.134399,   0.014777,   0.008779,   0.023556,  -0.000000,  -0.000000,   0.119497,   0.000000,   0.000000,   40.0000,    4.1774
    5.250,     0.000,   1.157964,   0.015332,   0.008959,   0.024291,  -0.000000,  -0.000000,   0.126743,   0.000000,   0.000000,   40.0000,    4.1721
    5.500,     0.000,   1.181502,   0.015897,   0.009170,   0.025067,  -0.000000,  -0.000000,   0.133989,   0.000000,   0.000000,   40.0000,    4.1670
    5.750,     0.000,   1.205010,   0.016472,   0.009420,   0.025892,  -0.000000,  -0.000000,   0.141234,   0.000000,   0.000000,   40.0000,    4.1621
    6.000,     0.000,   1.228489,   0.017057,   0.009705,   0.026762,  -0.000000,  -0.000000,   0.148477,   0.000000,   0.000000,   40.0000,    4.1575
    6.250,     0.000,   1.251937,   0.017652,   0.010061,   0.027713,  -0.000000,  -0.000000,   0.155718,   0.000000,   0.000000,   40.0000,    4.1530
    6.500,     0.000,   1.275355,   0.018256,   0.010481,   0.028737,  -0.000000,  -0.000000,   0.162957,   0.000000,   0.000000,   40.0000,    4.1487
    6.750,     0.000,   1.298742,   0.018870,   0.011016,   0.029886,  -0.000000,  -0.000000,   0.170194,   0.000000,   0.000000,   40.0000,    4.1446
    7.000,     0.000,   1.322096,   0.019493,   0.011727,   0.031221,  -0.000000,  -0.000000,   0.177429,   0.000000,   0.000000,   40.0000,    4.1407
    7.250,     0.000,   1.345419,   0.020126,   0.012623,   0.032749,  -0.000000,  -0.000000,   0.184659,   0.000000,   0.000000,   40.0000,    4.1369
    7.500,     0.000,   1.368708,   0.020768,   0.013554,   0.034322,  -0.000000,  -0.000000,   0.191886,   0.000000,   0.000000,   40.0000,    4.1333
    7.750,     0.000,   1.391964,   0.021419,   0.014541,   0.035959,  -0.000000,  -0.000000,   0.199113,   0.000000,   0.000000,   40.0000,    4.1298
    8.000,     0.000,   1.415186,   0.022079,   0.015582,   0.037661,  -0.000000,  -0.000000,   0.206333,   0.000000,   0.000000,   40.0000,    4.1265
    8.250,     0.000,   1.438373,   0.022748,   0.016671,   0.039419,  -0.000000,  -0.000000,   0.213543,   0.000000,   0.000000,   40.0000,    4.1233
    8.500,     0.000,   1.461524,   0.023425,   0.017843,   0.041269,  -0.000000,  -0.000000,   0.220745,   0.000000,   0.000000,   40.0000,    4.1202
    8.750,     0.000,   1.484640,   0.024112,   0.019082,   0.043194,  -0.000000,  -0.000000,   0.227939,   0.000000,   0.000000,   40.0000,    4.1172
    9.000,     0.000,   1.507720,   0.024806,   0.020357,   0.045163,  -0.000000,  -0.000000,   0.235124,   0.000000,   0.000000,   40.0000,    4.1144
    9.250,     0.000,   1.530763,   0.025510,   0.021875,   0.047385,  -0.000000,  -0.000000,   0.242294,   0.000000,   0.000000,   40.0000,    4.1116
    9.500,     0.000,   1.553768,   0.026221,   0.023425,   0.049646,  -0.000000,  -0.000000,   0.249453,   0.000000,   0.000000,   40.0000,    4.1090
    9.750,     0.000,   1.576735,   0.026941,   0.025278,   0.052219,  -0.000000,  -0.000000,   0.256589,   0.000000,   0.000000,   40.0000,    4.1064
   10.000,     0.000,   1.599663,   0.027668,   0.027567,   0.055236,  -0.000000,  -0.000000,   0.263709,   0.000000,   0.000000,   40.0000,    4.1040
   10.250,     0.000,   1.622553,   0.028404,   0.030188,   0.058592,  -0.000000,  -0.000000,   0.270800,   0.000000,   0.000000,   40.0000,    4.1016
   10.500,     0.000,   1.645402,   0.029147,   0.033542,   0.062689,  -0.000000,  -0.000000,   0.277889,   0.000000,   0.000000,   40.0000,    4.0993


