xflr5 v6.39

Plane name :, aquilai
Polar name :, T1-25.0 m/s-VLM1-proj_area
Freestream speed :, 25.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -2.000,     0.000,   0.465451,   0.003624,   0.014628,   0.018252,  -0.000000,  -0.000000,  -0.081305,   0.000000,   0.000000,   25.0000,    4.5651
   -1.750,     0.000,   0.489569,   0.003868,   0.014151,   0.018019,  -0.000000,  -0.000000,  -0.074285,   0.000000,   0.000000,   25.0000,    4.5325
   -1.500,     0.000,   0.513676,   0.004124,   0.013714,   0.017838,  -0.000000,  -0.000000,  -0.067248,   0.000000,   0.000000,   25.0000,    4.5030
   -1.250,     0.000,   0.537770,   0.004392,   0.013336,   0.017728,  -0.000000,  -0.000000,  -0.060193,   0.000000,   0.000000,   25.0000,    4.4761
   -1.000,     0.000,   0.561852,   0.004672,   0.013006,   0.017678,  -0.000000,  -0.000000,  -0.053120,   0.000000,   0.000000,   25.0000,    4.4516
   -0.750,     0.000,   0.585920,   0.004963,   0.012667,   0.017631,  -0.000000,  -0.000000,  -0.046036,   0.000000,   0.000000,   25.0000,    4.4291
   -0.500,     0.000,   0.609974,   0.005266,   0.012156,   0.017422,  -0.000000,  -0.000000,  -0.038953,   0.000000,   0.000000,   25.0000,    4.4084
   -0.250,     0.000,   0.634014,   0.005581,   0.011605,   0.017186,  -0.000000,  -0.000000,  -0.031862,   0.000000,   0.000000,   25.0000,    4.3892
    0.000,     0.000,   0.658038,   0.005907,   0.011304,   0.017211,  -0.000000,  -0.000000,  -0.024740,   0.000000,   0.000000,   25.0000,    4.3715
    0.250,     0.000,   0.682047,   0.006245,   0.011052,   0.017297,  -0.000000,  -0.000000,  -0.017603,   0.000000,   0.000000,   25.0000,    4.3551
    0.500,     0.000,   0.706039,   0.006595,   0.010812,   0.017407,  -0.000000,  -0.000000,  -0.010457,   0.000000,   0.000000,   25.0000,    4.3398
    0.750,     0.000,   0.730014,   0.006955,   0.010590,   0.017546,  -0.000000,  -0.000000,  -0.003301,   0.000000,   0.000000,   25.0000,    4.3256
    1.000,     0.000,   0.753971,   0.007328,   0.010478,   0.017806,  -0.000000,  -0.000000,   0.003871,   0.000000,   0.000000,   25.0000,    4.3122
    1.250,     0.000,   0.777910,   0.007711,   0.010471,   0.018182,  -0.000000,  -0.000000,   0.011058,   0.000000,   0.000000,   25.0000,    4.2997
    1.500,     0.000,   0.801831,   0.008106,   0.010465,   0.018571,  -0.000000,  -0.000000,   0.018254,   0.000000,   0.000000,   25.0000,    4.2880
    1.750,     0.000,   0.825732,   0.008512,   0.010452,   0.018964,  -0.000000,  -0.000000,   0.025457,   0.000000,   0.000000,   25.0000,    4.2770
    2.000,     0.000,   0.849612,   0.008929,   0.010464,   0.019393,  -0.000000,  -0.000000,   0.032667,   0.000000,   0.000000,   25.0000,    4.2666
    2.250,     0.000,   0.873472,   0.009357,   0.010474,   0.019831,  -0.000000,  -0.000000,   0.039882,   0.000000,   0.000000,   25.0000,    4.2568
    2.500,     0.000,   0.897311,   0.009796,   0.010486,   0.020282,  -0.000000,  -0.000000,   0.047103,   0.000000,   0.000000,   25.0000,    4.2475
    2.750,     0.000,   0.921128,   0.010246,   0.010513,   0.020760,  -0.000000,  -0.000000,   0.054329,   0.000000,   0.000000,   25.0000,    4.2388
    3.000,     0.000,   0.944923,   0.010707,   0.010536,   0.021243,  -0.000000,  -0.000000,   0.061559,   0.000000,   0.000000,   25.0000,    4.2305
    3.250,     0.000,   0.968694,   0.011179,   0.010565,   0.021744,  -0.000000,  -0.000000,   0.068792,   0.000000,   0.000000,   25.0000,    4.2226
    3.500,     0.000,   0.992442,   0.011662,   0.010600,   0.022261,  -0.000000,  -0.000000,   0.076029,   0.000000,   0.000000,   25.0000,    4.2152
    3.750,     0.000,   1.016166,   0.012155,   0.010634,   0.022789,  -0.000000,  -0.000000,   0.083268,   0.000000,   0.000000,   25.0000,    4.2081
    4.000,     0.000,   1.039864,   0.012658,   0.010672,   0.023330,  -0.000000,  -0.000000,   0.090509,   0.000000,   0.000000,   25.0000,    4.2014
