xflr5 v6.39

Plane name :, aquilai
Polar name :, T1-28.0 m/s-VLM1-proj_area
Freestream speed :, 28.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -2.000,     0.000,   0.465451,   0.003624,   0.013523,   0.017147,  -0.000000,  -0.000000,  -0.081334,   0.000000,   0.000000,   28.0000,    4.5651
   -1.750,     0.000,   0.489569,   0.003868,   0.013122,   0.016990,  -0.000000,  -0.000000,  -0.074307,   0.000000,   0.000000,   28.0000,    4.5325
   -1.500,     0.000,   0.513676,   0.004124,   0.012750,   0.016874,  -0.000000,  -0.000000,  -0.067263,   0.000000,   0.000000,   28.0000,    4.5030
   -1.250,     0.000,   0.537770,   0.004392,   0.012360,   0.016753,  -0.000000,  -0.000000,  -0.060207,   0.000000,   0.000000,   28.0000,    4.4761
   -1.000,     0.000,   0.561852,   0.004672,   0.012043,   0.016715,  -0.000000,  -0.000000,  -0.053134,   0.000000,   0.000000,   28.0000,    4.4516
   -0.750,     0.000,   0.585920,   0.004963,   0.011779,   0.016743,  -0.000000,  -0.000000,  -0.046045,   0.000000,   0.000000,   28.0000,    4.4291
   -0.500,     0.000,   0.609974,   0.005266,   0.011472,   0.016739,  -0.000000,  -0.000000,  -0.038947,   0.000000,   0.000000,   28.0000,    4.4084
   -0.250,     0.000,   0.634014,   0.005581,   0.010943,   0.016524,  -0.000000,  -0.000000,  -0.031854,   0.000000,   0.000000,   28.0000,    4.3892
    0.000,     0.000,   0.658038,   0.005907,   0.010544,   0.016451,  -0.000000,  -0.000000,  -0.024739,   0.000000,   0.000000,   28.0000,    4.3715
    0.250,     0.000,   0.682047,   0.006245,   0.010281,   0.016526,  -0.000000,  -0.000000,  -0.017603,   0.000000,   0.000000,   28.0000,    4.3551
    0.500,     0.000,   0.706039,   0.006595,   0.010125,   0.016719,  -0.000000,  -0.000000,  -0.010450,   0.000000,   0.000000,   28.0000,    4.3398
    0.750,     0.000,   0.730014,   0.006955,   0.009918,   0.016873,  -0.000000,  -0.000000,  -0.003291,   0.000000,   0.000000,   28.0000,    4.3256
    1.000,     0.000,   0.753971,   0.007328,   0.009714,   0.017042,  -0.000000,  -0.000000,   0.003875,   0.000000,   0.000000,   28.0000,    4.3122
    1.250,     0.000,   0.777910,   0.007711,   0.009621,   0.017332,  -0.000000,  -0.000000,   0.011057,   0.000000,   0.000000,   28.0000,    4.2997
    1.500,     0.000,   0.801831,   0.008106,   0.009617,   0.017723,  -0.000000,  -0.000000,   0.018253,   0.000000,   0.000000,   28.0000,    4.2880
    1.750,     0.000,   0.825732,   0.008512,   0.009642,   0.018154,  -0.000000,  -0.000000,   0.025458,   0.000000,   0.000000,   28.0000,    4.2770
    2.000,     0.000,   0.849612,   0.008929,   0.009656,   0.018585,  -0.000000,  -0.000000,   0.032668,   0.000000,   0.000000,   28.0000,    4.2666
    2.250,     0.000,   0.873472,   0.009357,   0.009682,   0.019039,  -0.000000,  -0.000000,   0.039884,   0.000000,   0.000000,   28.0000,    4.2568
    2.500,     0.000,   0.897311,   0.009796,   0.009708,   0.019505,  -0.000000,  -0.000000,   0.047106,   0.000000,   0.000000,   28.0000,    4.2475
    2.750,     0.000,   0.921128,   0.010246,   0.009742,   0.019989,  -0.000000,  -0.000000,   0.054332,   0.000000,   0.000000,   28.0000,    4.2388
    3.000,     0.000,   0.944923,   0.010707,   0.009777,   0.020484,  -0.000000,  -0.000000,   0.061563,   0.000000,   0.000000,   28.0000,    4.2305
