xflr5 v6.39

Plane name :, aquilai
Polar name :, T1-39.0 m/s-VLM1-proj_area
Freestream speed :, 39.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -4.000,     0.000,   0.281305,   0.002279,   0.006777,   0.009056,  -0.000000,   0.000000,  -0.139797,   0.000000,   0.000000,   39.0000,    5.0250
   -3.850,     0.000,   0.295793,   0.002369,   0.006685,   0.009054,  -0.000000,   0.000000,  -0.135618,   0.000000,   0.000000,   39.0000,    4.9698
   -3.700,     0.000,   0.310280,   0.002464,   0.006601,   0.009066,  -0.000000,   0.000000,  -0.131430,   0.000000,   0.000000,   39.0000,    4.9199
   -3.550,     0.000,   0.324763,   0.002564,   0.006520,   0.009084,  -0.000000,   0.000000,  -0.127236,   0.000000,   0.000000,   39.0000,    4.8743
   -3.400,     0.000,   0.339244,   0.002668,   0.006442,   0.009110,  -0.000000,   0.000000,  -0.123035,   0.000000,   0.000000,   39.0000,    4.8327
   -3.250,     0.000,   0.353722,   0.002776,   0.006379,   0.009155,  -0.000000,   0.000000,  -0.118826,   0.000000,   0.000000,   39.0000,    4.7945
   -3.100,     0.000,   0.368198,   0.002889,   0.006328,   0.009217,  -0.000000,   0.000000,  -0.114610,   0.000000,   0.000000,   39.0000,    4.7593
   -2.950,     0.000,   0.382670,   0.003006,   0.006278,   0.009284,  -0.000000,   0.000000,  -0.110387,   0.000000,   0.000000,   39.0000,    4.7267
   -2.800,     0.000,   0.397139,   0.003127,   0.006229,   0.009356,  -0.000000,   0.000000,  -0.106158,   0.000000,   0.000000,   39.0000,    4.6966
   -2.650,     0.000,   0.411605,   0.003253,   0.006186,   0.009439,  -0.000000,   0.000000,  -0.101922,   0.000000,   0.000000,   39.0000,    4.6686
   -2.500,     0.000,   0.426067,   0.003383,   0.006147,   0.009530,  -0.000000,   0.000000,  -0.097681,   0.000000,   0.000000,   39.0000,    4.6424
   -2.350,     0.000,   0.440526,   0.003518,   0.006108,   0.009626,  -0.000000,   0.000000,  -0.093433,   0.000000,   0.000000,   39.0000,    4.6180
   -2.200,     0.000,   0.454981,   0.003657,   0.006067,   0.009724,  -0.000000,   0.000000,  -0.089180,   0.000000,   0.000000,   39.0000,    4.5952
   -2.050,     0.000,   0.469432,   0.003800,   0.006012,   0.009812,  -0.000000,   0.000000,  -0.084923,   0.000000,   0.000000,   39.0000,    4.5738
   -1.900,     0.000,   0.483879,   0.003948,   0.005952,   0.009900,  -0.000000,   0.000000,  -0.080660,   0.000000,   0.000000,   39.0000,    4.5536
   -1.750,     0.000,   0.498322,   0.004099,   0.005893,   0.009993,  -0.000000,   0.000000,  -0.076393,   0.000000,   0.000000,   39.0000,    4.5347
   -1.600,     0.000,   0.512761,   0.004256,   0.005841,   0.010096,  -0.000000,   0.000000,  -0.072120,   0.000000,   0.000000,   39.0000,    4.5168
   -1.450,     0.000,   0.527195,   0.004416,   0.005809,   0.010225,  -0.000000,   0.000000,  -0.067840,   0.000000,   0.000000,   39.0000,    4.4999
   -1.300,     0.000,   0.541625,   0.004581,   0.005782,   0.010363,  -0.000000,   0.000000,  -0.063555,   0.000000,   0.000000,   39.0000,    4.4839
