xflr5 v6.39

Plane name :, aquilai
Polar name :, T1-13.0 m/s-VLM1-proj_area
Freestream speed :, 13.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -4.000,     0.000,   0.281305,   0.002279,   0.009425,   0.011704,  -0.000000,   0.000000,  -0.139609,   0.000000,   0.000000,   13.0000,    5.0250
   -3.850,     0.000,   0.295793,   0.002369,   0.009211,   0.011581,  -0.000000,   0.000000,  -0.135441,   0.000000,   0.000000,   13.0000,    4.9698
   -3.700,     0.000,   0.310280,   0.002464,   0.008999,   0.011464,  -0.000000,   0.000000,  -0.131266,   0.000000,   0.000000,   13.0000,    4.9199
   -3.550,     0.000,   0.324763,   0.002564,   0.008788,   0.011352,  -0.000000,   0.000000,  -0.127084,   0.000000,   0.000000,   13.0000,    4.8743
   -3.400,     0.000,   0.339244,   0.002668,   0.008577,   0.011245,  -0.000000,   0.000000,  -0.122894,   0.000000,   0.000000,   13.0000,    4.8327
   -3.250,     0.000,   0.353722,   0.002776,   0.008368,   0.011144,  -0.000000,   0.000000,  -0.118698,   0.000000,   0.000000,   13.0000,    4.7945
   -3.100,     0.000,   0.368198,   0.002889,   0.008160,   0.011049,  -0.000000,   0.000000,  -0.114496,   0.000000,   0.000000,   13.0000,    4.7593
   -2.950,     0.000,   0.382670,   0.003006,   0.007964,   0.010970,  -0.000000,   0.000000,  -0.110287,   0.000000,   0.000000,   13.0000,    4.7267
   -2.800,     0.000,   0.397139,   0.003127,   0.007826,   0.010953,  -0.000000,   0.000000,  -0.106068,   0.000000,   0.000000,   13.0000,    4.6966
   -2.650,     0.000,   0.411605,   0.003253,   0.007716,   0.010969,  -0.000000,   0.000000,  -0.101838,   0.000000,   0.000000,   13.0000,    4.6686
   -2.500,     0.000,   0.426067,   0.003383,   0.007608,   0.010991,  -0.000000,   0.000000,  -0.097602,   0.000000,   0.000000,   13.0000,    4.6424
   -2.350,     0.000,   0.440526,   0.003518,   0.007503,   0.011021,  -0.000000,   0.000000,  -0.093360,   0.000000,   0.000000,   13.0000,    4.6180
   -2.200,     0.000,   0.454981,   0.003657,   0.007416,   0.011073,  -0.000000,   0.000000,  -0.089112,   0.000000,   0.000000,   13.0000,    4.5952
   -2.050,     0.000,   0.469432,   0.003800,   0.007335,   0.011135,  -0.000000,   0.000000,  -0.084857,   0.000000,   0.000000,   13.0000,    4.5738
   -1.900,     0.000,   0.483879,   0.003948,   0.007255,   0.011202,  -0.000000,   0.000000,  -0.080596,   0.000000,   0.000000,   13.0000,    4.5536
   -1.750,     0.000,   0.498322,   0.004099,   0.007178,   0.011278,  -0.000000,   0.000000,  -0.076330,   0.000000,   0.000000,   13.0000,    4.5347
   -1.600,     0.000,   0.512761,   0.004256,   0.007105,   0.011361,  -0.000000,   0.000000,  -0.072059,   0.000000,   0.000000,   13.0000,    4.5168
   -1.450,     0.000,   0.527195,   0.004416,   0.007033,   0.011450,  -0.000000,   0.000000,  -0.067782,   0.000000,   0.000000,   13.0000,    4.4999
   -1.300,     0.000,   0.541625,   0.004581,   0.006962,   0.011543,  -0.000000,   0.000000,  -0.063501,   0.000000,   0.000000,   13.0000,    4.4839
   -1.150,     0.000,   0.556051,   0.004750,   0.006890,   0.011640,  -0.000000,   0.000000,  -0.059214,   0.000000,   0.000000,   13.0000,    4.4687
   -1.000,     0.000,   0.570471,   0.004924,   0.006818,   0.011742,  -0.000000,   0.000000,  -0.054923,   0.000000,   0.000000,   13.0000,    4.4543
   -0.850,     0.000,   0.584887,   0.005101,   0.006746,   0.011847,  -0.000000,   0.000000,  -0.050628,   0.000000,   0.000000,   13.0000,    4.4407
   -0.700,     0.000,   0.599297,   0.005283,   0.006674,   0.011957,  -0.000000,   0.000000,  -0.046328,   0.000000,   0.000000,   13.0000,    4.4277
   -0.550,     0.000,   0.613702,   0.005470,   0.006619,   0.012089,  -0.000000,   0.000000,  -0.042022,   0.000000,   0.000000,   13.0000,    4.4153
   -0.400,     0.000,   0.628102,   0.005660,   0.006606,   0.012266,  -0.000000,   0.000000,  -0.037709,   0.000000,   0.000000,   13.0000,    4.4035
   -0.250,     0.000,   0.642497,   0.005855,   0.006602,   0.012457,  -0.000000,   0.000000,  -0.033391,   0.000000,   0.000000,   13.0000,    4.3922
