xflr5 v6.39

Plane name :, aquilai
Polar name :, T1-41.0 m/s-VLM1-proj_area
Freestream speed :, 41.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -4.000,     0.000,   0.281305,   0.002279,   0.006654,   0.008933,  -0.000000,   0.000000,  -0.139829,   0.000000,   0.000000,   41.0000,    5.0250
   -3.850,     0.000,   0.295793,   0.002369,   0.006561,   0.008931,  -0.000000,   0.000000,  -0.135650,   0.000000,   0.000000,   41.0000,    4.9698
   -3.700,     0.000,   0.310280,   0.002464,   0.006483,   0.008948,  -0.000000,   0.000000,  -0.131461,   0.000000,   0.000000,   41.0000,    4.9199
   -3.550,     0.000,   0.324763,   0.002564,   0.006409,   0.008973,  -0.000000,   0.000000,  -0.127266,   0.000000,   0.000000,   41.0000,    4.8743
   -3.400,     0.000,   0.339244,   0.002668,   0.006337,   0.009005,  -0.000000,   0.000000,  -0.123063,   0.000000,   0.000000,   41.0000,    4.8327
   -3.250,     0.000,   0.353722,   0.002776,   0.006276,   0.009053,  -0.000000,   0.000000,  -0.118854,   0.000000,   0.000000,   41.0000,    4.7945
   -3.100,     0.000,   0.368198,   0.002889,   0.006226,   0.009115,  -0.000000,   0.000000,  -0.114638,   0.000000,   0.000000,   41.0000,    4.7593
   -2.950,     0.000,   0.382670,   0.003006,   0.006176,   0.009182,  -0.000000,   0.000000,  -0.110414,   0.000000,   0.000000,   41.0000,    4.7267
   -2.800,     0.000,   0.397139,   0.003127,   0.006129,   0.009256,  -0.000000,   0.000000,  -0.106185,   0.000000,   0.000000,   41.0000,    4.6966
   -2.650,     0.000,   0.411605,   0.003253,   0.006089,   0.009343,  -0.000000,   0.000000,  -0.101949,   0.000000,   0.000000,   41.0000,    4.6686
   -2.500,     0.000,   0.426067,   0.003383,   0.006055,   0.009439,  -0.000000,   0.000000,  -0.097706,   0.000000,   0.000000,   41.0000,    4.6424
