xflr5 v6.39

Plane name :, aquilai
Polar name :, T1-58.0 m/s-VLM1-proj_area
Freestream speed :, 58.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -4.000,     0.000,   0.281305,   0.002279,   0.006274,   0.008552,  -0.000000,   0.000000,  -0.139841,   0.000000,   0.000000,   58.0000,    5.0250
   -3.850,     0.000,   0.295793,   0.002369,   0.006204,   0.008574,  -0.000000,   0.000000,  -0.135657,   0.000000,   0.000000,   58.0000,    4.9698
   -3.700,     0.000,   0.310280,   0.002464,   0.006120,   0.008585,  -0.000000,   0.000000,  -0.131469,   0.000000,   0.000000,   58.0000,    4.9199
   -3.550,     0.000,   0.324763,   0.002564,   0.006033,   0.008597,  -0.000000,   0.000000,  -0.127274,   0.000000,   0.000000,   58.0000,    4.8743
   -3.400,     0.000,   0.339244,   0.002668,   0.005949,   0.008617,  -0.000000,   0.000000,  -0.123073,   0.000000,   0.000000,   58.0000,    4.8327
   -3.250,     0.000,   0.353722,   0.002776,   0.005876,   0.008652,  -0.000000,   0.000000,  -0.118865,   0.000000,   0.000000,   58.0000,    4.7945
   -3.100,     0.000,   0.368198,   0.002889,   0.005817,   0.008706,  -0.000000,   0.000000,  -0.114649,   0.000000,   0.000000,   58.0000,    4.7593
   -2.950,     0.000,   0.382670,   0.003006,   0.005760,   0.008766,  -0.000000,   0.000000,  -0.110426,   0.000000,   0.000000,   58.0000,    4.7267
   -2.800,     0.000,   0.397139,   0.003127,   0.005705,   0.008832,  -0.000000,   0.000000,  -0.106198,   0.000000,   0.000000,   58.0000,    4.6966
   -2.650,     0.000,   0.411605,   0.003253,   0.005663,   0.008917,  -0.000000,   0.000000,  -0.101963,   0.000000,   0.000000,   58.0000,    4.6686
   -2.500,     0.000,   0.426067,   0.003383,   0.005633,   0.009016,  -0.000000,   0.000000,  -0.097720,   0.000000,   0.000000,   58.0000,    4.6424
   -2.350,     0.000,   0.440526,   0.003518,   0.005604,   0.009122,  -0.000000,   0.000000,  -0.093472,   0.000000,   0.000000,   58.0000,    4.6180
   -2.200,     0.000,   0.454981,   0.003657,   0.005577,   0.009234,  -0.000000,   0.000000,  -0.089218,   0.000000,   0.000000,   58.0000,    4.5952
   -2.050,     0.000,   0.469432,   0.003800,   0.005555,   0.009355,  -0.000000,   0.000000,  -0.084958,   0.000000,   0.000000,   58.0000,    4.5738
   -1.900,     0.000,   0.483879,   0.003948,   0.005536,   0.009483,  -0.000000,   0.000000,  -0.080692,   0.000000,   0.000000,   58.0000,    4.5536
   -1.750,     0.000,   0.498322,   0.004099,   0.005517,   0.009616,  -0.000000,   0.000000,  -0.076422,   0.000000,   0.000000,   58.0000,    4.5347
   -1.600,     0.000,   0.512761,   0.004256,   0.005499,   0.009754,  -0.000000,   0.000000,  -0.072146,   0.000000,   0.000000,   58.0000,    4.5168
   -1.450,     0.000,   0.527195,   0.004416,   0.005486,   0.009902,  -0.000000,   0.000000,  -0.067865,   0.000000,   0.000000,   58.0000,    4.4999
   -1.300,     0.000,   0.541625,   0.004581,   0.005474,   0.010055,  -0.000000,   0.000000,  -0.063578,   0.000000,   0.000000,   58.0000,    4.4839
   -1.150,     0.000,   0.556051,   0.004750,   0.005463,   0.010213,  -0.000000,   0.000000,  -0.059287,   0.000000,   0.000000,   58.0000,    4.4687
   -1.000,     0.000,   0.570471,   0.004924,   0.005452,   0.010376,  -0.000000,   0.000000,  -0.054992,   0.000000,   0.000000,   58.0000,    4.4543
   -0.850,     0.000,   0.584887,   0.005101,   0.005445,   0.010547,  -0.000000,   0.000000,  -0.050691,   0.000000,   0.000000,   58.0000,    4.4407
   -0.700,     0.000,   0.599297,   0.005283,   0.005439,   0.010723,  -0.000000,   0.000000,  -0.046386,   0.000000,   0.000000,   58.0000,    4.4277
   -0.550,     0.000,   0.613702,   0.005470,   0.005434,   0.010903,  -0.000000,   0.000000,  -0.042077,   0.000000,   0.000000,   58.0000,    4.4153
   -0.400,     0.000,   0.628102,   0.005660,   0.005430,   0.011090,  -0.000000,   0.000000,  -0.037764,   0.000000,   0.000000,   58.0000,    4.4035
   -0.250,     0.000,   0.642497,   0.005855,   0.005429,   0.011284,  -0.000000,   0.000000,  -0.033447,   0.000000,   0.000000,   58.0000,    4.3922
   -0.100,     0.000,   0.656886,   0.006054,   0.005429,   0.011483,  -0.000000,   0.000000,  -0.029125,   0.000000,   0.000000,   58.0000,    4.3815
    0.050,     0.000,   0.671269,   0.006257,   0.005430,   0.011687,  -0.000000,   0.000000,  -0.024800,   0.000000,   0.000000,   58.0000,    4.3712
    0.200,     0.000,   0.685647,   0.006464,   0.005429,   0.011893,  -0.000000,   0.000000,  -0.020472,   0.000000,   0.000000,   58.0000,    4.3613
    0.350,     0.000,   0.700018,   0.006676,   0.005428,   0.012104,  -0.000000,   0.000000,  -0.016140,   0.000000,   0.000000,   58.0000,    4.3518
    0.500,     0.000,   0.714383,   0.006892,   0.005426,   0.012318,  -0.000000,   0.000000,  -0.011804,   0.000000,   0.000000,   58.0000,    4.3428
    0.650,     0.000,   0.728743,   0.007112,   0.005428,   0.012540,  -0.000000,   0.000000,  -0.007465,   0.000000,   0.000000,   58.0000,    4.3341
    0.800,     0.000,   0.743095,   0.007336,   0.005441,   0.012777,  -0.000000,   0.000000,  -0.003122,   0.000000,   0.000000,   58.0000,    4.3257
    0.950,     0.000,   0.757442,   0.007564,   0.005459,   0.013024,  -0.000000,   0.000000,   0.001224,   0.000000,   0.000000,   58.0000,    4.3177
    1.100,     0.000,   0.771781,   0.007797,   0.005479,   0.013275,  -0.000000,   0.000000,   0.005573,   0.000000,   0.000000,   58.0000,    4.3100
    1.250,     0.000,   0.786114,   0.008033,   0.005502,   0.013535,  -0.000000,   0.000000,   0.009925,   0.000000,   0.000000,   58.0000,    4.3026
    1.400,     0.000,   0.800440,   0.008274,   0.005531,   0.013805,  -0.000000,   0.000000,   0.014281,   0.000000,   0.000000,   58.0000,    4.2954
    1.550,     0.000,   0.814759,   0.008519,   0.005563,   0.014081,  -0.000000,   0.000000,   0.018639,   0.000000,   0.000000,   58.0000,    4.2885
    1.700,     0.000,   0.829071,   0.008768,   0.005594,   0.014362,  -0.000000,   0.000000,   0.022999,   0.000000,   0.000000,   58.0000,    4.2819
    1.850,     0.000,   0.843375,   0.009021,   0.005615,   0.014635,  -0.000000,   0.000000,   0.027361,   0.000000,   0.000000,   58.0000,    4.2755
    2.000,     0.000,   0.857672,   0.009278,   0.005626,   0.014903,  -0.000000,   0.000000,   0.031724,   0.000000,   0.000000,   58.0000,    4.2693
