xflr5 v6.39

Plane name :, aquilai
Polar name :, T1-13.0 m/s-VLM1-proj_area
Freestream speed :, 13.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.000,     0.000,   0.244443,   0.002212,   0.023240,   0.025452,  -0.000000,   0.000000,  -0.181616,   0.000000,   0.000000,   13.0000,    5.3584
   -4.750,     0.000,   0.268621,   0.002346,   0.023103,   0.025449,  -0.000000,   0.000000,  -0.175154,   0.000000,   0.000000,   13.0000,    5.2277
   -4.500,     0.000,   0.292792,   0.002492,   0.022980,   0.025472,  -0.000000,   0.000000,  -0.168668,   0.000000,   0.000000,   13.0000,    5.1185
   -4.250,     0.000,   0.316958,   0.002650,   0.022856,   0.025506,  -0.000000,   0.000000,  -0.162163,   0.000000,   0.000000,   13.0000,    5.0261
   -4.000,     0.000,   0.341116,   0.002820,   0.022732,   0.025552,  -0.000000,   0.000000,  -0.155637,   0.000000,   0.000000,   13.0000,    4.9467
   -3.750,     0.000,   0.365267,   0.003002,   0.022617,   0.025618,  -0.000000,   0.000000,  -0.149091,   0.000000,   0.000000,   13.0000,    4.8778
   -3.500,     0.000,   0.389409,   0.003195,   0.022524,   0.025719,  -0.000000,   0.000000,  -0.142524,   0.000000,   0.000000,   13.0000,    4.8175
   -3.250,     0.000,   0.413543,   0.003401,   0.022425,   0.025826,  -0.000000,   0.000000,  -0.135938,   0.000000,   0.000000,   13.0000,    4.7643
   -3.000,     0.000,   0.437668,   0.003619,   0.022274,   0.025893,  -0.000000,   0.000000,  -0.129341,   0.000000,   0.000000,   13.0000,    4.7169
   -2.750,     0.000,   0.461782,   0.003848,   0.022102,   0.025950,  -0.000000,   0.000000,  -0.122727,   0.000000,   0.000000,   13.0000,    4.6745
   -2.500,     0.000,   0.485886,   0.004089,   0.021938,   0.026027,  -0.000000,   0.000000,  -0.116097,   0.000000,   0.000000,   13.0000,    4.6363
   -2.250,     0.000,   0.509979,   0.004343,   0.021826,   0.026169,  -0.000000,   0.000000,  -0.109446,   0.000000,   0.000000,   13.0000,    4.6018
   -2.000,     0.000,   0.534059,   0.004607,   0.021646,   0.026253,  -0.000000,   0.000000,  -0.102784,   0.000000,   0.000000,   13.0000,    4.5704
   -1.750,     0.000,   0.558128,   0.004884,   0.021398,   0.026282,  -0.000000,   0.000000,  -0.096113,   0.000000,   0.000000,   13.0000,    4.5417
   -1.500,     0.000,   0.582183,   0.005172,   0.021113,   0.026286,  -0.000000,   0.000000,  -0.089430,   0.000000,   0.000000,   13.0000,    4.5154
   -1.250,     0.000,   0.606224,   0.005472,   0.020807,   0.026280,  -0.000000,   0.000000,  -0.082734,   0.000000,   0.000000,   13.0000,    4.4912
   -1.000,     0.000,   0.630252,   0.005784,   0.020497,   0.026281,  -0.000000,   0.000000,  -0.076024,   0.000000,   0.000000,   13.0000,    4.4689
   -0.750,     0.000,   0.654264,   0.006107,   0.020153,   0.026260,  -0.000000,   0.000000,  -0.069303,   0.000000,   0.000000,   13.0000,    4.4482
   -0.500,     0.000,   0.678261,   0.006442,   0.019747,   0.026189,  -0.000000,   0.000000,  -0.062572,   0.000000,   0.000000,   13.0000,    4.4291
   -0.250,     0.000,   0.702241,   0.006788,   0.019226,   0.026014,  -0.000000,   0.000000,  -0.055837,   0.000000,   0.000000,   13.0000,    4.4112
    0.000,     0.000,   0.726205,   0.007146,   0.018781,   0.025927,  -0.000000,   0.000000,  -0.049085,   0.000000,   0.000000,   13.0000,    4.3946
    0.250,     0.000,   0.750151,   0.007515,   0.018386,   0.025901,  -0.000000,   0.000000,  -0.042317,   0.000000,   0.000000,   13.0000,    4.3790
    0.500,     0.000,   0.774080,   0.007895,   0.018005,   0.025900,  -0.000000,   0.000000,  -0.035538,   0.000000,   0.000000,   13.0000,    4.3644
    0.750,     0.000,   0.797990,   0.008287,   0.017680,   0.025967,  -0.000000,   0.000000,  -0.028744,   0.000000,   0.000000,   13.0000,    4.3507
    1.000,     0.000,   0.821881,   0.008690,   0.017383,   0.026073,  -0.000000,   0.000000,  -0.021938,   0.000000,   0.000000,   13.0000,    4.3378
    1.250,     0.000,   0.845752,   0.009104,   0.017152,   0.026256,  -0.000000,   0.000000,  -0.015119,   0.000000,   0.000000,   13.0000,    4.3257
    1.500,     0.000,   0.869602,   0.009529,   0.016946,   0.026475,  -0.000000,   0.000000,  -0.008290,   0.000000,   0.000000,   13.0000,    4.3143
    1.750,     0.000,   0.893432,   0.009965,   0.016731,   0.026696,  -0.000000,   0.000000,  -0.001453,   0.000000,   0.000000,   13.0000,    4.3035
    2.000,     0.000,   0.917240,   0.010412,   0.016511,   0.026923,  -0.000000,   0.000000,   0.005392,   0.000000,   0.000000,   13.0000,    4.2933
    2.250,     0.000,   0.941026,   0.010870,   0.016301,   0.027171,  -0.000000,   0.000000,   0.012244,   0.000000,   0.000000,   13.0000,    4.2836
    2.500,     0.000,   0.964789,   0.011339,   0.016145,   0.027484,  -0.000000,   0.000000,   0.019106,   0.000000,   0.000000,   13.0000,    4.2744
    2.750,     0.000,   0.988529,   0.011819,   0.015993,   0.027811,  -0.000000,   0.000000,   0.025975,   0.000000,   0.000000,   13.0000,    4.2657
