xflr5 v6.39

Plane name :, aquilai
Polar name :, T1-60.0 m/s-VLM1-proj_area
Freestream speed :, 60.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.000,     0.000,   0.244443,   0.002212,   0.010559,   0.012772,  -0.000000,   0.000000,  -0.181705,   0.000000,   0.000000,   60.0000,    5.3584
   -4.750,     0.000,   0.268621,   0.002346,   0.010243,   0.012589,  -0.000000,   0.000000,  -0.175259,   0.000000,   0.000000,   60.0000,    5.2277
   -4.500,     0.000,   0.292792,   0.002492,   0.009914,   0.012406,  -0.000000,   0.000000,  -0.168793,   0.000000,   0.000000,   60.0000,    5.1185
   -4.250,     0.000,   0.316958,   0.002650,   0.009552,   0.012201,  -0.000000,   0.000000,  -0.162308,   0.000000,   0.000000,   60.0000,    5.0261
   -4.000,     0.000,   0.341116,   0.002820,   0.009138,   0.011958,  -0.000000,   0.000000,  -0.155810,   0.000000,   0.000000,   60.0000,    4.9467
   -3.750,     0.000,   0.365267,   0.003002,   0.008792,   0.011794,  -0.000000,   0.000000,  -0.149291,   0.000000,   0.000000,   60.0000,    4.8778
   -3.500,     0.000,   0.389409,   0.003195,   0.008519,   0.011714,  -0.000000,   0.000000,  -0.142743,   0.000000,   0.000000,   60.0000,    4.8175
   -3.250,     0.000,   0.413543,   0.003401,   0.008283,   0.011684,  -0.000000,   0.000000,  -0.136174,   0.000000,   0.000000,   60.0000,    4.7643
   -3.000,     0.000,   0.437668,   0.003619,   0.008064,   0.011683,  -0.000000,   0.000000,  -0.129584,   0.000000,   0.000000,   60.0000,    4.7169
   -2.750,     0.000,   0.461782,   0.003848,   0.007854,   0.011702,  -0.000000,   0.000000,  -0.122976,   0.000000,   0.000000,   60.0000,    4.6745
   -2.500,     0.000,   0.485886,   0.004089,   0.007680,   0.011769,  -0.000000,   0.000000,  -0.116349,   0.000000,   0.000000,   60.0000,    4.6363
   -2.250,     0.000,   0.509979,   0.004343,   0.007531,   0.011873,  -0.000000,   0.000000,  -0.109702,   0.000000,   0.000000,   60.0000,    4.6018
   -2.000,     0.000,   0.534059,   0.004607,   0.007385,   0.011992,  -0.000000,   0.000000,  -0.103040,   0.000000,   0.000000,   60.0000,    4.5704
