xflr5 v6.39

Plane name :, aquilai
Polar name :, T1-65.0 m/s-VLM1-proj_area
Freestream speed :, 65.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.000,     0.000,   0.244443,   0.002212,   0.010150,   0.012362,  -0.000000,   0.000000,  -0.181718,   0.000000,   0.000000,   65.0000,    5.3584
   -4.750,     0.000,   0.268621,   0.002346,   0.009837,   0.012183,  -0.000000,   0.000000,  -0.175274,   0.000000,   0.000000,   65.0000,    5.2277
   -4.500,     0.000,   0.292792,   0.002492,   0.009541,   0.012033,  -0.000000,   0.000000,  -0.168805,   0.000000,   0.000000,   65.0000,    5.1185
   -4.250,     0.000,   0.316958,   0.002650,   0.009237,   0.011887,  -0.000000,   0.000000,  -0.162317,   0.000000,   0.000000,   65.0000,    5.0261
   -4.000,     0.000,   0.341116,   0.002820,   0.008858,   0.011677,  -0.000000,   0.000000,  -0.155813,   0.000000,   0.000000,   65.0000,    4.9467
   -3.750,     0.000,   0.365267,   0.003002,   0.008489,   0.011491,  -0.000000,   0.000000,  -0.149295,   0.000000,   0.000000,   65.0000,    4.8778
   -3.500,     0.000,   0.389409,   0.003195,   0.008211,   0.011407,  -0.000000,   0.000000,  -0.142748,   0.000000,   0.000000,   65.0000,    4.8175
   -3.250,     0.000,   0.413543,   0.003401,   0.007977,   0.011378,  -0.000000,   0.000000,  -0.136179,   0.000000,   0.000000,   65.0000,    4.7643
   -3.000,     0.000,   0.437668,   0.003619,   0.007767,   0.011386,  -0.000000,   0.000000,  -0.129589,   0.000000,   0.000000,   65.0000,    4.7169
   -2.750,     0.000,   0.461782,   0.003848,   0.007578,   0.011426,  -0.000000,   0.000000,  -0.122980,   0.000000,   0.000000,   65.0000,    4.6745
   -2.500,     0.000,   0.485886,   0.004089,   0.007406,   0.011496,  -0.000000,   0.000000,  -0.116352,   0.000000,   0.000000,   65.0000,    4.6363
   -2.250,     0.000,   0.509979,   0.004343,   0.007265,   0.011608,  -0.000000,   0.000000,  -0.109705,   0.000000,   0.000000,   65.0000,    4.6018
   -2.000,     0.000,   0.534059,   0.004607,   0.007140,   0.011748,  -0.000000,   0.000000,  -0.103041,   0.000000,   0.000000,   65.0000,    4.5704
   -1.750,     0.000,   0.558128,   0.004884,   0.007019,   0.011903,  -0.000000,   0.000000,  -0.096361,   0.000000,   0.000000,   65.0000,    4.5417
   -1.500,     0.000,   0.582183,   0.005172,   0.006902,   0.012074,  -0.000000,   0.000000,  -0.089665,   0.000000,   0.000000,   65.0000,    4.5154
   -1.250,     0.000,   0.606224,   0.005472,   0.006813,   0.012285,  -0.000000,   0.000000,  -0.082954,   0.000000,   0.000000,   65.0000,    4.4912
   -1.000,     0.000,   0.630252,   0.005784,   0.006741,   0.012525,  -0.000000,   0.000000,  -0.076227,   0.000000,   0.000000,   65.0000,    4.4689
   -0.750,     0.000,   0.654264,   0.006107,   0.006679,   0.012786,  -0.000000,   0.000000,  -0.069487,   0.000000,   0.000000,   65.0000,    4.4482
   -0.500,     0.000,   0.678261,   0.006442,   0.006635,   0.013077,  -0.000000,   0.000000,  -0.062733,   0.000000,   0.000000,   65.0000,    4.4291
   -0.250,     0.000,   0.702241,   0.006788,   0.006601,   0.013389,  -0.000000,   0.000000,  -0.055966,   0.000000,   0.000000,   65.0000,    4.4112
    0.000,     0.000,   0.726205,   0.007146,   0.006576,   0.013721,  -0.000000,   0.000000,  -0.049186,   0.000000,   0.000000,   65.0000,    4.3946
    0.250,     0.000,   0.750151,   0.007515,   0.006563,   0.014077,  -0.000000,   0.000000,  -0.042395,   0.000000,   0.000000,   65.0000,    4.3790
    0.500,     0.000,   0.774080,   0.007895,   0.006567,   0.014462,  -0.000000,   0.000000,  -0.035592,   0.000000,   0.000000,   65.0000,    4.3644
    0.750,     0.000,   0.797990,   0.008287,   0.006580,   0.014867,  -0.000000,   0.000000,  -0.028779,   0.000000,   0.000000,   65.0000,    4.3507
    1.000,     0.000,   0.821881,   0.008690,   0.006611,   0.015300,  -0.000000,   0.000000,  -0.021955,   0.000000,   0.000000,   65.0000,    4.3378
    1.250,     0.000,   0.845752,   0.009104,   0.006663,   0.015766,  -0.000000,   0.000000,  -0.015121,   0.000000,   0.000000,   65.0000,    4.3257
    1.500,     0.000,   0.869602,   0.009529,   0.006724,   0.016253,  -0.000000,   0.000000,  -0.008278,   0.000000,   0.000000,   65.0000,    4.3143
    1.750,     0.000,   0.893432,   0.009965,   0.006794,   0.016759,  -0.000000,   0.000000,  -0.001427,   0.000000,   0.000000,   65.0000,    4.3035
    2.000,     0.000,   0.917240,   0.010412,   0.006874,   0.017286,  -0.000000,   0.000000,   0.005431,   0.000000,   0.000000,   65.0000,    4.2933
    2.250,     0.000,   0.941026,   0.010870,   0.006966,   0.017837,  -0.000000,   0.000000,   0.012298,   0.000000,   0.000000,   65.0000,    4.2836
    2.500,     0.000,   0.964789,   0.011339,   0.007080,   0.018419,  -0.000000,   0.000000,   0.019171,   0.000000,   0.000000,   65.0000,    4.2744
    2.750,     0.000,   0.988529,   0.011819,   0.007211,   0.019030,  -0.000000,   0.000000,   0.026051,   0.000000,   0.000000,   65.0000,    4.2657
    3.000,     0.000,   1.012245,   0.012309,   0.007359,   0.019668,  -0.000000,   0.000000,   0.032937,   0.000000,   0.000000,   65.0000,    4.2574
    3.250,     0.000,   1.035936,   0.012810,   0.007516,   0.020326,  -0.000000,   0.000000,   0.039828,   0.000000,   0.000000,   65.0000,    4.2495
    3.500,     0.000,   1.059602,   0.013321,   0.007677,   0.020999,  -0.000000,   0.000000,   0.046723,   0.000000,   0.000000,   65.0000,    4.2420
    3.750,     0.000,   1.083243,   0.013843,   0.007845,   0.021688,  -0.000000,   0.000000,   0.053621,   0.000000,   0.000000,   65.0000,    4.2348
