xflr5 v6.39

Plane name :, aquilai
Polar name :, T1-60.0 m/s-VLM1-proj_area
Freestream speed :, 60.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -2.500,     0.000,   0.426067,   0.003383,   0.005609,   0.008992,  -0.000000,   0.000000,  -0.097721,   0.000000,   0.000000,   60.0000,    4.6424
   -2.250,     0.000,   0.450163,   0.003610,   0.005562,   0.009172,  -0.000000,   0.000000,  -0.090638,   0.000000,   0.000000,   60.0000,    4.6027
   -2.000,     0.000,   0.474248,   0.003849,   0.005525,   0.009374,  -0.000000,   0.000000,  -0.083538,   0.000000,   0.000000,   60.0000,    4.5669
   -1.750,     0.000,   0.498322,   0.004099,   0.005495,   0.009594,  -0.000000,   0.000000,  -0.076423,   0.000000,   0.000000,   60.0000,    4.5347
   -1.500,     0.000,   0.522384,   0.004362,   0.005470,   0.009832,  -0.000000,   0.000000,  -0.069293,   0.000000,   0.000000,   60.0000,    4.5054
   -1.250,     0.000,   0.546434,   0.004637,   0.005454,   0.010091,  -0.000000,   0.000000,  -0.062149,   0.000000,   0.000000,   60.0000,    4.4787
   -1.000,     0.000,   0.570471,   0.004924,   0.005439,   0.010363,  -0.000000,   0.000000,  -0.054992,   0.000000,   0.000000,   60.0000,    4.4543
   -0.750,     0.000,   0.594494,   0.005222,   0.005432,   0.010654,  -0.000000,   0.000000,  -0.047822,   0.000000,   0.000000,   60.0000,    4.4319
   -0.500,     0.000,   0.618503,   0.005533,   0.005425,   0.010958,  -0.000000,   0.000000,  -0.040640,   0.000000,   0.000000,   60.0000,    4.4113
   -0.250,     0.000,   0.642497,   0.005855,   0.005428,   0.011283,  -0.000000,   0.000000,  -0.033446,   0.000000,   0.000000,   60.0000,    4.3922
    0.000,     0.000,   0.666475,   0.006189,   0.005433,   0.011622,  -0.000000,   0.000000,  -0.026242,   0.000000,   0.000000,   60.0000,    4.3745
    0.250,     0.000,   0.690438,   0.006535,   0.005431,   0.011966,  -0.000000,   0.000000,  -0.019027,   0.000000,   0.000000,   60.0000,    4.3581
    0.500,     0.000,   0.714383,   0.006892,   0.005423,   0.012315,  -0.000000,   0.000000,  -0.011804,   0.000000,   0.000000,   60.0000,    4.3428
