time,flux,t,zenith,azimuth,sn1,sn2,sn3,sun_h
0.0,159.58999999994046,21490.0,89.949,89.99,0.9999995886142068,0.00017453285517134796,0.000890117800975533,0.14166666666661382
8.0,287.2619999999745,21498.0,89.949,89.99,0.9999995886142068,0.00017453285517134796,0.000890117800975533,0.25499999999997736
16.0,414.9340000000085,21506.0,89.949,89.99,0.9999995886142068,0.00017453285517134796,0.000890117800975533,0.36833333333334084
24.0,542.6059999999915,21514.0,89.949,89.99,0.9999995886142068,0.00017453285517134796,0.000890117800975533,0.4816666666666591
32.0,670.2780000000255,21522.0,89.949,89.99,0.9999995886142068,0.00017453285517134796,0.000890117800975533,0.5950000000000226
40.0,797.9500000000085,21530.0,89.949,89.99,0.9999995886142068,0.00017453285517134796,0.000890117800975533,0.7083333333333408
48.0,925.6220000000425,21538.0,89.949,89.99,0.9999995886142068,0.00017453285517134796,0.000890117800975533,0.8216666666667044
56.0,959.5250000000012,21546.0,89.92879999999998,90.004,0.9999992254432957,-6.981311611901977e-05,0.0012426741075892021,1.1960000000002213
64.0,962.1716666666671,21554.0,89.90186666666666,90.02266666666667,0.9999984549917521,-0.0003956073732060665,0.0017127489352286114,1.6573333333334193
72.0,964.8183333333341,21562.0,89.87493333333333,90.04133333333333,0.9999973574278603,-0.0007214009762763531,0.0021828233844009173,2.118666666666802
80.0,967.4649999999999,21570.0,89.84800000000001,90.06,0.9999959327522544,-0.0010471936747769083,0.0026528973512327148,2.5799999999999996
88.0,970.1116666666669,21578.0,89.82106666666667,90.07866666666666,0.9999941809657688,-0.0013729852181545985,0.0031229707318520374,3.0413333333333825
96.0,972.7583333333339,21586.0,89.79413333333333,90.09733333333334,0.999992102069439,-0.0016987753558580245,0.003593043422385715,3.502666666666765
104.0,975.4049999999997,21594.0,89.76720000000002,90.116,0.9999896960645012,-0.0020245638373356965,0.004063115318961176,3.9639999999999627
112.0,977.976,21602.0,89.74026666666668,90.13499999999999,0.9999869492616851,-0.0023561681003249116,0.004533186317707131,4.430000000000012
120.0,980.3200000000003,21610.0,89.71333333333334,90.155,0.9999838244660713,-0.0027052231808960183,0.005003256314751384,4.910000000000064
128.0,982.6639999999996,21618.0,89.68640000000002,90.175,0.9999803568626653,-0.0030542756921332352,0.0054733252062215115,5.389999999999923
136.0,985.0079999999999,21626.0,89.65946666666667,90.195,0.9999765464537002,-0.0034033253601131585,0.005943392888246891,5.869999999999974
144.0,987.3519999999992,21634.0,89.63253333333336,90.21499999999999,0.9999723932416343,-0.0037523719109140564,0.00641345925695539,6.3499999999998336
152.0,989.6959999999995,21642.0,89.60560000000001,90.235,0.999967897229151,-0.004101415070616548,0.0068835242084767205,6.829999999999885
160.0,992.0399999999997,21650.0,89.57866666666668,90.255,0.9999630584191591,-0.004450454565302799,0.00735358763894002,7.3099999999999365
168.0,994.383999999999,21658.0,89.55173333333335,90.27499999999999,0.9999578768147925,-0.004799490121058188,0.007823649444474985,7.789999999999795
176.0,996.5429999999997,21666.0,89.52470000000001,90.294,0.9999524276491738,-0.005131068927990715,0.00829545479042324,8.279999999999902
184.0,998.6403333333327,21674.0,89.49763333333334,90.31266666666666,0.9999466725938483,-0.005456825950917553,0.008767840043737447,8.773333333333168
192.0,1000.7376666666665,21682.0,89.47056666666667,90.33133333333333,0.9999405882645052,-0.005782578478066856,0.009240223340384551,9.266666666666634
200.0,1002.8350000000005,21690.0,89.4435,90.35000000000001,0.9999341746648684,-0.0061083262567678985,0.009712604574945792,9.760000000000097
208.0,1004.9323333333335,21698.0,89.41643333333334,90.36866666666667,0.9999274317988648,-0.006434069034353009,0.010184983642002652,10.253333333333366
216.0,1007.0296666666674,21706.0,89.38936666666667,90.38733333333334,0.9999203596706242,-0.006759806558158468,0.010657360436137096,10.74666666666683
224.0,1009.1270000000004,21714.0,89.3623,90.406,0.9999129582844801,-0.007085538575522941,0.011129734851931593,11.240000000000098
232.0,1011.1733333333342,21722.0,89.33523333333333,90.42500000000001,0.9999051845110561,-0.007417082046474206,0.01160210678396937,11.736333333333548
240.0,1013.0666666666677,21730.0,89.30816666666666,90.44500000000001,0.9998969422740205,-0.007766070906624756,0.012074476126833536,12.241666666666935
248.0,1014.9600000000005,21738.0,89.2811,90.465,0.9998883550924441,-0.00811505310536388,0.012546842775108672,12.74700000000012
256.0,1016.853333333334,21746.0,89.25403333333333,90.485,0.9998794229719444,-0.008464028366518944,0.013019206623379069,13.252333333333508
264.0,1018.7466666666668,21754.0,89.22696666666667,90.505,0.9998701459183658,-0.008812996413922013,0.013491567566230087,13.757666666666694
