time,flux,t,zenith,azimuth,sn1,sn2,sn3,sun_h
0.0,166.77666666668443,26110.0,89.912,119.13,0.8735164283675856,-0.4867922456412927,0.0015358891379051943,0.256666666666694
8.0,300.19799999997866,26118.0,89.912,119.13,0.8735164283675856,-0.4867922456412927,0.0015358891379051943,0.46199999999996716
16.0,433.6193333333262,26126.0,89.912,119.13,0.8735164283675856,-0.4867922456412927,0.0015358891379051943,0.6673333333333223
24.0,567.0406666666205,26134.0,89.912,119.13,0.8735164283675856,-0.4867922456412927,0.0015358891379051943,0.8726666666665955
32.0,700.461999999968,26142.0,89.912,119.13,0.8735164283675856,-0.4867922456412927,0.0015358891379051943,1.0779999999999508
40.0,833.8833333333156,26150.0,89.912,119.13,0.8735164283675856,-0.4867922456412927,0.0015358891379051943,1.283333333333306
48.0,967.3046666666098,26158.0,89.912,119.13,0.8735164283675856,-0.4867922456412927,0.0015358891379051943,1.488666666666579
56.0,1002.4349999999995,26166.0,89.89430000000002,119.14399999999999,0.8733970004289131,-0.48700541712650547,0.0018448119729385568,1.8569999999999156
64.0,1004.8016666666658,26174.0,89.87070000000001,119.16266666666665,0.8732375526214524,-0.48728952785490365,0.0022567088073542217,2.2796666666665257
72.0,1007.1683333333332,26182.0,89.84710000000001,119.18133333333333,0.8730778642685082,-0.4875735036589997,0.002668605258897312,2.7023333333333053
80.0,1009.5350000000004,26190.0,89.8235,119.2,0.8729179354681957,-0.4878573443640509,0.003080501257686037,3.1250000000000844
88.0,1011.9016666666668,26198.0,89.7999,119.21866666666666,0.8727577663187596,-0.4881410497953874,0.00349239673383735,3.5476666666666947
96.0,1014.2683333333341,26206.0,89.77629999999999,119.23733333333334,0.8725973569185728,-0.4884246197784123,0.0039042916174698477,3.970333333333474
104.0,1016.6350000000004,26214.0,89.75269999999999,119.256,0.872436707366138,-0.4887080541386007,0.004316185838701117,4.393000000000084
112.0,1018.9420000000009,26222.0,89.72913333333332,119.275,0.8722729753081794,-0.48899642873323523,0.004727497557734227,4.818666666666852
120.0,1021.0700000000011,26230.0,89.70566666666666,119.295,0.872100468447232,-0.48929989118749895,0.0051370631707506435,5.253333333333565
128.0,1023.1980000000004,26238.0,89.6822,119.315,0.8719277097490481,-0.4896032106619343,0.005546627922034616,5.688000000000104
136.0,1025.3260000000007,26246.0,89.65873333333333,119.33500000000001,0.871754699321442,-0.4899063869668411,0.005956191742882226,6.122666666666817
144.0,1027.454,26254.0,89.63526666666667,119.355,0.8715814372723731,-0.49020941991260014,0.006365754564590375,6.557333333333356
152.0,1029.5820000000003,26262.0,89.61179999999999,119.375,0.8714079237099436,-0.49051230930967477,0.006775316318455689,6.992000000000069
160.0,1031.7100000000005,26270.0,89.58833333333332,119.39500000000001,0.8712341587424001,-0.4908150549686106,0.00718487693577453,7.426666666666782
168.0,1033.8379999999997,26278.0,89.56486666666666,119.415,0.8710601424781329,-0.49111765670003493,0.007594436347844115,7.861333333333322
176.0,1035.815,26286.0,89.54129999999999,119.434,0.8708944396242692,-0.4914049075481812,0.008005739759294245,8.304000000000054
184.0,1037.741666666667,26294.0,89.51769999999999,119.45266666666667,0.8707313510048315,-0.4916869512105225,0.008417623572134037,8.749333333333457
192.0,1039.6683333333333,26302.0,89.4941,119.47133333333333,0.8705680233468406,-0.4919688572974238,0.008829505956841985,9.194666666666684
200.0,1041.5950000000003,26310.0,89.4705,119.49000000000001,0.8704044567503697,-0.49225062563525696,0.009241386843538908,9.64000000000009
208.0,1043.5216666666665,26318.0,89.4469,119.50866666666667,0.8702406513156208,-0.49253225605046724,0.009653266162344543,10.085333333333315
216.0,1045.4483333333335,26326.0,89.4233,119.52733333333333,0.8700766071429239,-0.49281374836957437,0.010065143843379785,10.53066666666672
224.0,1047.3750000000005,26334.0,89.3997,119.546,0.8699123243327368,-0.49309510241917265,0.010477019816765805,10.976000000000125
232.0,1049.2596666666666,26342.0,89.37613333333334,119.565,0.8697449381337885,-0.4933813811308127,0.010888312270695132,11.42366666666669
240.0,1051.0183333333337,26350.0,89.35266666666666,119.58500000000001,0.8695687115060592,-0.4936827061806809,0.011297857664688686,11.878333333333455
248.0,1052.777,26358.0,89.3292,119.605,0.8693922346504701,-0.493983885453219,0.011707401163487952,12.333000000000037
256.0,1054.535666666667,26366.0,89.30573333333334,119.625,0.8692155076769592,-0.49428491875994945,0.012116942698393463,12.787666666666802
264.0,1056.2943333333342,26374.0,89.28226666666666,119.64500000000001,0.8690385306956075,-0.4945858059124776,0.01252648220070542,13.242333333333564
272.0,1058.0530000000006,26382.0,89.2588,119.665,0.8688613038166394,-0.49488654672249216,0.012936019601723912,13.697000000000147
280.0,1059.8116666666676,26390.0,89.23533333333333,119.685,0.8686838271504214,-0.49518714100176603,0.013345554832750052,14.151666666666909
288.0,1061.570333333334,26398.0,89.21186666666667,119.705,0.8685061008074636,-0.4954875885621557,0.013755087825085098,14.606333333333492
296.0,1063.2200000000007,26406.0,89.18839999999999,119.724,0.8683367778972223,-0.4957727339553228,0.0141646185100309,15.067000000000222
304.0,1064.8333333333342,26414.0,89.16493333333332,119.74266666666666,0.8681701016768686,-0.49605268752308657,0.014574146818888807,15.52966666666694
312.0,1066.4466666666672,26422.0,89.14146666666666,119.76133333333333,0.8680031896027042,-0.4963325018497798,0.014983672682961904,15.99233333333347
320.0,1068.0600000000006,26430.0,89.118,119.78,0.8678360417757953,-0.4966121767645178,0.015393196033552792,16.455000000000187
