time,flux,t,zenith,azimuth,sn1,sn2,sn3,sun_h
17408.0,1319.774,39848.0,38.844066666666656,151.41933333333338,0.30005114855611736,-0.5507748526110787,0.778855808209324,1027.9120000000003
17416.0,1319.778,39856.0,38.83113333333333,151.4686666666667,0.29949282256438015,-0.5508785277382238,0.7789973664328961,1028.104
17424.0,1319.782,39864.0,38.81819999999999,151.51800000000003,0.2989345253134708,-0.5509816217562717,0.7791388849636749,1028.296
17432.0,1319.786,39872.0,38.80526666666667,151.56733333333332,0.2983762574185315,-0.5510841347864237,0.7792803637944491,1028.488
17440.0,1319.79,39880.0,38.79233333333334,151.61666666666665,0.29781801949451364,-0.5511860669505388,0.7794218029180102,1028.68
17448.0,1319.7939999999999,39888.0,38.77940000000001,151.66599999999997,0.2972598121561802,-0.5512874183711338,0.7795632023271513,1028.8719999999998
17456.0,1319.798,39896.0,38.76646666666667,151.71533333333332,0.2967016360181028,-0.551388189171383,0.7797045620146674,1029.0639999999999
17464.0,1319.8026666666667,39904.0,38.75353333333334,151.76466666666664,0.2961434916946633,-0.5514883794751179,0.7798458819733558,1029.2546666666667
17472.0,1319.808,39912.0,38.740600000000015,151.81399999999996,0.29558537980005056,-0.5515879894068273,0.7799871621960157,1029.4439999999997
17480.0,1319.8133333333333,39920.0,38.72766666666668,151.86333333333332,0.2950273009482607,-0.5516870190916565,0.7801284026754485,1029.6333333333332
17488.0,1319.8186666666666,39928.0,38.71473333333334,151.91266666666667,0.29446925575309746,-0.5517854686554076,0.7802696034044573,1029.8226666666667
17496.0,1319.8239999999998,39936.0,38.701800000000006,151.96200000000002,0.2939112448281702,-0.551883338224539,0.7804107643758473,1030.012
17504.0,1319.8293333333334,39944.0,38.68886666666667,152.01133333333334,0.2933532687868941,-0.551980627926165,0.7805518855824262,1030.2013333333334
17512.0,1319.8346666666666,39952.0,38.67593333333334,152.06066666666666,0.292795328242488,-0.5520773378880558,0.780692967017003,1030.3906666666664
17520.0,1319.84,39960.0,38.663000000000004,152.11,0.2922374238079748,-0.5521734682386372,0.7808340086723893,1030.58
17528.0,1319.8453333333332,39968.0,38.650333333333336,152.15933333333334,0.29168125360747676,-0.5522722331920306,0.7809721036881268,1030.7666666666667
17536.0,1319.8506666666667,39976.0,38.63766666666667,152.2086666666667,0.29112511581170974,-0.552370422862582,0.781110160534499,1030.9533333333334
17544.0,1319.856,39984.0,38.625,152.258,0.2905690110261145,-0.5524680373746116,0.7812481792047585,1031.14
17552.0,1319.8613333333333,39992.0,38.61233333333334,152.3073333333333,0.29001293985593896,-0.5525650768530835,0.7813861596921597,1031.3266666666666
17560.0,1319.8666666666668,40000.0,38.59966666666667,152.35666666666665,0.289456902906238,-0.5526615414236065,0.781524101989959,1031.5133333333333
17568.0,1319.872,40008.0,38.587,152.40599999999998,0.28890090078187486,-0.5527574312124321,0.7816620060914146,1031.7
17576.0,1319.8773333333334,40016.0,38.574333333333335,152.45533333333333,0.2883449340875177,-0.5528527463464556,0.7817998719897865,1031.8866666666668
17584.0,1319.882,40024.0,38.56166666666667,152.50466666666665,0.2877890034276412,-0.5529474869532158,0.7819376996783365,1032.0720000000001
17592.0,1319.8860000000002,40032.0,38.54900000000001,152.55399999999997,0.28723310940652375,-0.5530416531608939,0.7820754891503284,1032.2559999999999
17600.0,1319.89,40040.0,38.53633333333334,152.60333333333332,0.2866772526282482,-0.5531352450983138,0.7822132403990282,1032.4399999999998
