xflr5 v6.39

Plane name :, aquilai
Polar name :, T1-65.0 m/s-VLM1-proj_area
Freestream speed :, 65.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -4.000,     0.000,   0.281305,   0.002279,   0.006021,   0.008299,  -0.000000,   0.000000,  -0.139848,   0.000000,   0.000000,   65.0000,    5.0250
   -3.850,     0.000,   0.295793,   0.002369,   0.005968,   0.008337,  -0.000000,   0.000000,  -0.135664,   0.000000,   0.000000,   65.0000,    4.9698
   -3.700,     0.000,   0.310280,   0.002464,   0.005925,   0.008389,  -0.000000,   0.000000,  -0.131472,   0.000000,   0.000000,   65.0000,    4.9199
   -3.550,     0.000,   0.324763,   0.002564,   0.005884,   0.008448,  -0.000000,   0.000000,  -0.127274,   0.000000,   0.000000,   65.0000,    4.8743
   -3.400,     0.000,   0.339244,   0.002668,   0.005843,   0.008511,  -0.000000,   0.000000,  -0.123068,   0.000000,   0.000000,   65.0000,    4.8327
   -3.250,     0.000,   0.353722,   0.002776,   0.005791,   0.008567,  -0.000000,   0.000000,  -0.118857,   0.000000,   0.000000,   65.0000,    4.7945
   -3.100,     0.000,   0.368198,   0.002889,   0.005725,   0.008614,  -0.000000,   0.000000,  -0.114641,   0.000000,   0.000000,   65.0000,    4.7593
   -2.950,     0.000,   0.382670,   0.003006,   0.005657,   0.008662,  -0.000000,   0.000000,  -0.110420,   0.000000,   0.000000,   65.0000,    4.7267
   -2.800,     0.000,   0.397139,   0.003127,   0.005590,   0.008717,  -0.000000,   0.000000,  -0.106192,   0.000000,   0.000000,   65.0000,    4.6966
   -2.650,     0.000,   0.411605,   0.003253,   0.005544,   0.008797,  -0.000000,   0.000000,  -0.101958,   0.000000,   0.000000,   65.0000,    4.6686
   -2.500,     0.000,   0.426067,   0.003383,   0.005516,   0.008899,  -0.000000,   0.000000,  -0.097715,   0.000000,   0.000000,   65.0000,    4.6424
   -2.350,     0.000,   0.440526,   0.003518,   0.005490,   0.009008,  -0.000000,   0.000000,  -0.093466,   0.000000,   0.000000,   65.0000,    4.6180
   -2.200,     0.000,   0.454981,   0.003657,   0.005464,   0.009121,  -0.000000,   0.000000,  -0.089212,   0.000000,   0.000000,   65.0000,    4.5952
   -2.050,     0.000,   0.469432,   0.003800,   0.005446,   0.009246,  -0.000000,   0.000000,  -0.084952,   0.000000,   0.000000,   65.0000,    4.5738
   -1.900,     0.000,   0.483879,   0.003948,   0.005431,   0.009378,  -0.000000,   0.000000,  -0.080686,   0.000000,   0.000000,   65.0000,    4.5536
   -1.750,     0.000,   0.498322,   0.004099,   0.005416,   0.009515,  -0.000000,   0.000000,  -0.076414,   0.000000,   0.000000,   65.0000,    4.5347
   -1.600,     0.000,   0.512761,   0.004256,   0.005401,   0.009657,  -0.000000,   0.000000,  -0.072138,   0.000000,   0.000000,   65.0000,    4.5168
   -1.450,     0.000,   0.527195,   0.004416,   0.005391,   0.009807,  -0.000000,   0.000000,  -0.067857,   0.000000,   0.000000,   65.0000,    4.4999
   -1.300,     0.000,   0.541625,   0.004581,   0.005383,   0.009964,  -0.000000,   0.000000,  -0.063570,   0.000000,   0.000000,   65.0000,    4.4839
   -1.150,     0.000,   0.556051,   0.004750,   0.005375,   0.010125,  -0.000000,   0.000000,  -0.059279,   0.000000,   0.000000,   65.0000,    4.4687
   -1.000,     0.000,   0.570471,   0.004924,   0.005368,   0.010292,  -0.000000,   0.000000,  -0.054983,   0.000000,   0.000000,   65.0000,    4.4543
   -0.850,     0.000,   0.584887,   0.005101,   0.005367,   0.010468,  -0.000000,   0.000000,  -0.050682,   0.000000,   0.000000,   65.0000,    4.4407
