xflr5 v6.39

Plane name :, aquilai
Polar name :, T1-36.0 m/s-VLM1-proj_area
Freestream speed :, 36.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -4.000,     0.000,   0.281305,   0.002279,   0.006984,   0.009262,  -0.000000,   0.000000,  -0.139802,   0.000000,   0.000000,   36.0000,    5.0250
   -3.850,     0.000,   0.295793,   0.002369,   0.006886,   0.009255,  -0.000000,   0.000000,  -0.135623,   0.000000,   0.000000,   36.0000,    4.9698
   -3.700,     0.000,   0.310280,   0.002464,   0.006793,   0.009258,  -0.000000,   0.000000,  -0.131436,   0.000000,   0.000000,   36.0000,    4.9199
   -3.550,     0.000,   0.324763,   0.002564,   0.006702,   0.009266,  -0.000000,   0.000000,  -0.127243,   0.000000,   0.000000,   36.0000,    4.8743
   -3.400,     0.000,   0.339244,   0.002668,   0.006615,   0.009283,  -0.000000,   0.000000,  -0.123042,   0.000000,   0.000000,   36.0000,    4.8327
   -3.250,     0.000,   0.353722,   0.002776,   0.006545,   0.009321,  -0.000000,   0.000000,  -0.118834,   0.000000,   0.000000,   36.0000,    4.7945
   -3.100,     0.000,   0.368198,   0.002889,   0.006486,   0.009375,  -0.000000,   0.000000,  -0.114618,   0.000000,   0.000000,   36.0000,    4.7593
   -2.950,     0.000,   0.382670,   0.003006,   0.006428,   0.009434,  -0.000000,   0.000000,  -0.110396,   0.000000,   0.000000,   36.0000,    4.7267
   -2.800,     0.000,   0.397139,   0.003127,   0.006371,   0.009498,  -0.000000,   0.000000,  -0.106168,   0.000000,   0.000000,   36.0000,    4.6966
   -2.650,     0.000,   0.411605,   0.003253,   0.006315,   0.009568,  -0.000000,   0.000000,  -0.101933,   0.000000,   0.000000,   36.0000,    4.6686
   -2.500,     0.000,   0.426067,   0.003383,   0.006261,   0.009644,  -0.000000,   0.000000,  -0.097693,   0.000000,   0.000000,   36.0000,    4.6424
   -2.350,     0.000,   0.440526,   0.003518,   0.006208,   0.009726,  -0.000000,   0.000000,  -0.093446,   0.000000,   0.000000,   36.0000,    4.6180
   -2.200,     0.000,   0.454981,   0.003657,   0.006155,   0.009812,  -0.000000,   0.000000,  -0.089194,   0.000000,   0.000000,   36.0000,    4.5952
   -2.050,     0.000,   0.469432,   0.003800,   0.006101,   0.009901,  -0.000000,   0.000000,  -0.084936,   0.000000,   0.000000,   36.0000,    4.5738
   -1.900,     0.000,   0.483879,   0.003948,   0.006047,   0.009995,  -0.000000,   0.000000,  -0.080674,   0.000000,   0.000000,   36.0000,    4.5536
   -1.750,     0.000,   0.498322,   0.004099,   0.005993,   0.010092,  -0.000000,   0.000000,  -0.076406,   0.000000,   0.000000,   36.0000,    4.5347
   -1.600,     0.000,   0.512761,   0.004256,   0.005945,   0.010201,  -0.000000,   0.000000,  -0.072132,   0.000000,   0.000000,   36.0000,    4.5168
   -1.450,     0.000,   0.527195,   0.004416,   0.005915,   0.010331,  -0.000000,   0.000000,  -0.067852,   0.000000,   0.000000,   36.0000,    4.4999
   -1.300,     0.000,   0.541625,   0.004581,   0.005889,   0.010470,  -0.000000,   0.000000,  -0.063567,   0.000000,   0.000000,   36.0000,    4.4839
   -1.150,     0.000,   0.556051,   0.004750,   0.005862,   0.010613,  -0.000000,   0.000000,  -0.059277,   0.000000,   0.000000,   36.0000,    4.4687
   -1.000,     0.000,   0.570471,   0.004924,   0.005839,   0.010763,  -0.000000,   0.000000,  -0.054982,   0.000000,   0.000000,   36.0000,    4.4543
