xflr5 v6.39

Plane name :, aquilai
Polar name :, T1-2.0 m/s-VLM1-proj_area
Freestream speed :, 2.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -4.000,     0.000,   0.281305,   0.002279,   0.028422,   0.030700,  -0.000000,   0.000000,  -0.138164,   0.000000,   0.000000,    2.0000,    5.0250
   -3.850,     0.000,   0.295793,   0.002369,   0.027113,   0.029482,  -0.000000,   0.000000,  -0.134092,   0.000000,   0.000000,    2.0000,    4.9698
   -3.700,     0.000,   0.310280,   0.002464,   0.025474,   0.027939,  -0.000000,   0.000000,  -0.130049,   0.000000,   0.000000,    2.0000,    4.9199
   -3.550,     0.000,   0.324763,   0.002564,   0.023612,   0.026176,  -0.000000,   0.000000,  -0.126027,   0.000000,   0.000000,    2.0000,    4.8743
   -3.400,     0.000,   0.339244,   0.002668,   0.021743,   0.024411,  -0.000000,   0.000000,  -0.121997,   0.000000,   0.000000,    2.0000,    4.8327
   -3.250,     0.000,   0.353722,   0.002776,   0.019883,   0.022660,  -0.000000,   0.000000,  -0.117959,   0.000000,   0.000000,    2.0000,    4.7945
   -3.100,     0.000,   0.368198,   0.002889,   0.018177,   0.021066,  -0.000000,   0.000000,  -0.113915,   0.000000,   0.000000,    2.0000,    4.7593
   -2.950,     0.000,   0.382670,   0.003006,   0.017241,   0.020247,  -0.000000,   0.000000,  -0.109814,   0.000000,   0.000000,    2.0000,    4.7267
   -2.800,     0.000,   0.397139,   0.003127,   0.016909,   0.020037,  -0.000000,   0.000000,  -0.105640,   0.000000,   0.000000,    2.0000,    4.6966
   -2.650,     0.000,   0.411605,   0.003253,   0.017945,   0.021198,  -0.000000,   0.000000,  -0.101350,   0.000000,   0.000000,    2.0000,    4.6686
   -2.500,     0.000,   0.426067,   0.003383,   0.018022,   0.021405,  -0.000000,   0.000000,  -0.097068,   0.000000,   0.000000,    2.0000,    4.6424
   -2.350,     0.000,   0.440526,   0.003518,   0.017654,   0.021171,  -0.000000,   0.000000,  -0.092857,   0.000000,   0.000000,    2.0000,    4.6180
   -2.200,     0.000,   0.454981,   0.003657,   0.017309,   0.020965,  -0.000000,   0.000000,  -0.088637,   0.000000,   0.000000,    2.0000,    4.5952
   -2.050,     0.000,   0.469432,   0.003800,   0.016990,   0.020790,  -0.000000,   0.000000,  -0.084407,   0.000000,   0.000000,    2.0000,    4.5738
   -1.900,     0.000,   0.483879,   0.003948,   0.016692,   0.020640,  -0.000000,   0.000000,  -0.080170,   0.000000,   0.000000,    2.0000,    4.5536
   -1.750,     0.000,   0.498322,   0.004099,   0.016451,   0.020551,  -0.000000,   0.000000,  -0.075923,   0.000000,   0.000000,    2.0000,    4.5347
   -1.600,     0.000,   0.512761,   0.004256,   0.016250,   0.020505,  -0.000000,   0.000000,  -0.071666,   0.000000,   0.000000,    2.0000,    4.5168
   -1.450,     0.000,   0.527195,   0.004416,   0.015892,   0.020309,  -0.000000,   0.000000,  -0.067413,   0.000000,   0.000000,    2.0000,    4.4999
   -1.300,     0.000,   0.541625,   0.004581,   0.015456,   0.020037,  -0.000000,   0.000000,  -0.063164,   0.000000,   0.000000,    2.0000,    4.4839
   -1.150,     0.000,   0.556051,   0.004750,   0.015135,   0.019886,  -0.000000,   0.000000,  -0.058902,   0.000000,   0.000000,    2.0000,    4.4687
   -1.000,     0.000,   0.570471,   0.004924,   0.014879,   0.019803,  -0.000000,   0.000000,  -0.054629,   0.000000,   0.000000,    2.0000,    4.4543
   -0.850,     0.000,   0.584887,   0.005101,   0.014619,   0.019720,  -0.000000,   0.000000,  -0.050351,   0.000000,   0.000000,    2.0000,    4.4407
   -0.700,     0.000,   0.599297,   0.005283,   0.014426,   0.019709,  -0.000000,   0.000000,  -0.046064,   0.000000,   0.000000,    2.0000,    4.4277
   -0.550,     0.000,   0.613702,   0.005470,   0.014416,   0.019885,  -0.000000,   0.000000,  -0.041758,   0.000000,   0.000000,    2.0000,    4.4153
   -0.400,     0.000,   0.628102,   0.005660,   0.014440,   0.020101,  -0.000000,   0.000000,  -0.037445,   0.000000,   0.000000,    2.0000,    4.4035
   -0.250,     0.000,   0.642497,   0.005855,   0.014481,   0.020336,  -0.000000,   0.000000,  -0.033127,   0.000000,   0.000000,    2.0000,    4.3922
   -0.100,     0.000,   0.656886,   0.006054,   0.014536,   0.020590,  -0.000000,   0.000000,  -0.028803,   0.000000,   0.000000,    2.0000,    4.3815
    0.050,     0.000,   0.671269,   0.006257,   0.014595,   0.020852,  -0.000000,   0.000000,  -0.024476,   0.000000,   0.000000,    2.0000,    4.3712
