xflr5 v6.39

Plane name :, aquilai
Polar name :, T1-25.0 m/s-VLM1-proj_area
Freestream speed :, 25.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.000,     0.000,   0.174171,   0.001617,   0.009228,   0.010845,  -0.000000,  -0.000000,  -0.165172,   0.000000,   0.000000,   25.0000,    5.6743
   -4.750,     0.000,   0.198389,   0.001717,   0.008923,   0.010640,  -0.000000,  -0.000000,  -0.158353,   0.000000,   0.000000,   25.0000,    5.4582
   -4.500,     0.000,   0.222603,   0.001829,   0.008632,   0.010461,  -0.000000,  -0.000000,  -0.151511,   0.000000,   0.000000,   25.0000,    5.2890
   -4.250,     0.000,   0.246812,   0.001954,   0.008372,   0.010326,  -0.000000,  -0.000000,  -0.144647,   0.000000,   0.000000,   25.0000,    5.1531
   -4.000,     0.000,   0.271016,   0.002090,   0.008122,   0.010212,  -0.000000,  -0.000000,  -0.137761,   0.000000,   0.000000,   25.0000,    5.0415
   -3.750,     0.000,   0.295214,   0.002238,   0.007901,   0.010139,  -0.000000,  -0.000000,  -0.130854,   0.000000,   0.000000,   25.0000,    4.9481
   -3.500,     0.000,   0.319405,   0.002398,   0.007702,   0.010100,  -0.000000,  -0.000000,  -0.123924,   0.000000,   0.000000,   25.0000,    4.8690
   -3.250,     0.000,   0.343590,   0.002571,   0.007485,   0.010056,  -0.000000,  -0.000000,  -0.116977,   0.000000,   0.000000,   25.0000,    4.8010
   -3.000,     0.000,   0.367766,   0.002755,   0.007220,   0.009974,  -0.000000,  -0.000000,  -0.110018,   0.000000,   0.000000,   25.0000,    4.7419
   -2.750,     0.000,   0.391934,   0.002951,   0.006955,   0.009906,  -0.000000,  -0.000000,  -0.103043,   0.000000,   0.000000,   25.0000,    4.6902
   -2.500,     0.000,   0.416093,   0.003159,   0.006799,   0.009959,  -0.000000,  -0.000000,  -0.096042,   0.000000,   0.000000,   25.0000,    4.6444
   -2.250,     0.000,   0.440242,   0.003379,   0.006685,   0.010064,  -0.000000,  -0.000000,  -0.089040,   0.000000,   0.000000,   25.0000,    4.6038
   -2.000,     0.000,   0.464381,   0.003612,   0.006580,   0.010192,  -0.000000,  -0.000000,  -0.082003,   0.000000,   0.000000,   25.0000,    4.5673
   -1.750,     0.000,   0.488510,   0.003855,   0.006501,   0.010356,  -0.000000,  -0.000000,  -0.074948,   0.000000,   0.000000,   25.0000,    4.5345
   -1.500,     0.000,   0.512626,   0.004111,   0.006421,   0.010533,  -0.000000,  -0.000000,  -0.067880,   0.000000,   0.000000,   25.0000,    4.5048
   -1.250,     0.000,   0.536731,   0.004379,   0.006341,   0.010720,  -0.000000,  -0.000000,  -0.060797,   0.000000,   0.000000,   25.0000,    4.4778
   -1.000,     0.000,   0.560822,   0.004658,   0.006263,   0.010921,  -0.000000,  -0.000000,  -0.053702,   0.000000,   0.000000,   25.0000,    4.4531
   -0.750,     0.000,   0.584901,   0.004949,   0.006205,   0.011155,  -0.000000,  -0.000000,  -0.046592,   0.000000,   0.000000,   25.0000,    4.4305
   -0.500,     0.000,   0.608965,   0.005252,   0.006151,   0.011403,  -0.000000,  -0.000000,  -0.039470,   0.000000,   0.000000,   25.0000,    4.4097
   -0.250,     0.000,   0.633015,   0.005566,   0.006079,   0.011646,  -0.000000,  -0.000000,  -0.032338,   0.000000,   0.000000,   25.0000,    4.3905
    0.000,     0.000,   0.657050,   0.005892,   0.005997,   0.011889,  -0.000000,  -0.000000,  -0.025197,   0.000000,   0.000000,   25.0000,    4.3727
    0.250,     0.000,   0.681069,   0.006230,   0.005928,   0.012158,  -0.000000,  -0.000000,  -0.018044,   0.000000,   0.000000,   25.0000,    4.3562
    0.500,     0.000,   0.705071,   0.006579,   0.005883,   0.012462,  -0.000000,  -0.000000,  -0.010879,   0.000000,   0.000000,   25.0000,    4.3408
    0.750,     0.000,   0.729057,   0.006940,   0.005837,   0.012777,  -0.000000,  -0.000000,  -0.003706,   0.000000,   0.000000,   25.0000,    4.3265
    1.000,     0.000,   0.753024,   0.007312,   0.005782,   0.013093,  -0.000000,  -0.000000,   0.003476,   0.000000,   0.000000,   25.0000,    4.3131
    1.250,     0.000,   0.776974,   0.007695,   0.005722,   0.013417,  -0.000000,  -0.000000,   0.010665,   0.000000,   0.000000,   25.0000,    4.3005
    1.500,     0.000,   0.800905,   0.008089,   0.005619,   0.013708,  -0.000000,  -0.000000,   0.017859,   0.000000,   0.000000,   25.0000,    4.2887
    1.750,     0.000,   0.824816,   0.008495,   0.005502,   0.013997,  -0.000000,  -0.000000,   0.025059,   0.000000,   0.000000,   25.0000,    4.2777
    2.000,     0.000,   0.848707,   0.008912,   0.005442,   0.014354,  -0.000000,  -0.000000,   0.032270,   0.000000,   0.000000,   25.0000,    4.2672
    2.250,     0.000,   0.872578,   0.009340,   0.005417,   0.014756,  -0.000000,  -0.000000,   0.039488,   0.000000,   0.000000,   25.0000,    4.2574
    2.500,     0.000,   0.896427,   0.009779,   0.005433,   0.015212,  -0.000000,  -0.000000,   0.046714,   0.000000,   0.000000,   25.0000,    4.2481
    2.750,     0.000,   0.920255,   0.010229,   0.005487,   0.015716,  -0.000000,  -0.000000,   0.053948,   0.000000,   0.000000,   25.0000,    4.2393
    3.000,     0.000,   0.944060,   0.010690,   0.005559,   0.016248,  -0.000000,  -0.000000,   0.061186,   0.000000,   0.000000,   25.0000,    4.2310
    3.250,     0.000,   0.967842,   0.011161,   0.005651,   0.016812,  -0.000000,  -0.000000,   0.068430,   0.000000,   0.000000,   25.0000,    4.2231
    3.500,     0.000,   0.991600,   0.011644,   0.005740,   0.017384,  -0.000000,  -0.000000,   0.075676,   0.000000,   0.000000,   25.0000,    4.2156
    3.750,     0.000,   1.015334,   0.012136,   0.005817,   0.017954,  -0.000000,  -0.000000,   0.082924,   0.000000,   0.000000,   25.0000,    4.2085
    4.000,     0.000,   1.039044,   0.012640,   0.005920,   0.018560,  -0.000000,  -0.000000,   0.090175,   0.000000,   0.000000,   25.0000,    4.2018
    4.250,     0.000,   1.062727,   0.013154,   0.006059,   0.019213,  -0.000000,  -0.000000,   0.097428,   0.000000,   0.000000,   25.0000,    4.1953
    4.500,     0.000,   1.086385,   0.013678,   0.006257,   0.019936,  -0.000000,  -0.000000,   0.104685,   0.000000,   0.000000,   25.0000,    4.1892
    4.750,     0.000,   1.110017,   0.014213,   0.006495,   0.020708,  -0.000000,  -0.000000,   0.111942,   0.000000,   0.000000,   25.0000,    4.1833
    5.000,     0.000,   1.133621,   0.014758,   0.006751,   0.021509,  -0.000000,  -0.000000,   0.119201,   0.000000,   0.000000,   25.0000,    4.1777
    5.250,     0.000,   1.157197,   0.015313,   0.007011,   0.022324,  -0.000000,  -0.000000,   0.126460,   0.000000,   0.000000,   25.0000,    4.1724
    5.500,     0.000,   1.180745,   0.015878,   0.007304,   0.023182,  -0.000000,  -0.000000,   0.133717,   0.000000,   0.000000,   25.0000,    4.1673
    5.750,     0.000,   1.204264,   0.016453,   0.007617,   0.024071,  -0.000000,  -0.000000,   0.140973,   0.000000,   0.000000,   25.0000,    4.1624
    6.000,     0.000,   1.227753,   0.017038,   0.007997,   0.025036,  -0.000000,  -0.000000,   0.148228,   0.000000,   0.000000,   25.0000,    4.1577
    6.250,     0.000,   1.251213,   0.017633,   0.008394,   0.026027,  -0.000000,  -0.000000,   0.155478,   0.000000,   0.000000,   25.0000,    4.1532
    6.500,     0.000,   1.274641,   0.018237,   0.008748,   0.026986,  -0.000000,  -0.000000,   0.162725,   0.000000,   0.000000,   25.0000,    4.1490
